Sembol,Başlangıç,Bitiş,Mum Sayısı,5x3 Swing,Makro S/R Swing,S/R Çizgisi,Tamamlanan W,Kabul Edilen Giriş Sinyali,Açık İşlem,Kaldıraç,Toplam Ücret TL,Pozisyonda Kalma %,Buy & Hold %,Teorik 5x Buy & Hold %,Başlangıç Sermayesi,Bitiş Özsermayesi,Net Kâr,Toplam Getiri %,CAGR %,Maksimum Drawdown %,Sharpe,Sortino,Calmar,En Düşük Özsermaye,Likidasyon Riski,Drawdown Süresi (mum),Kapalı İşlem,Kazanan İşlem,Kaybeden İşlem,Win Rate %,Profit Factor,Expectancy TL,Toplam Trade PnL,Ortalama Kazanç TL,Ortalama Kayıp TL,Payoff Ratio,En İyi İşlem TL,En Kötü İşlem TL,Ortalama İşlem Getirisi (Teminat) %,En İyi İşlem Getirisi (Teminat) %,En Kötü İşlem Getirisi (Teminat) %,Maks. Ardışık Kazanç,Maks. Ardışık Kayıp
THYAO.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,110,29,23,0,0,0,5.0,0.0,0.0,1.1345218800648205,5.672609400324102,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
TUPRS.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,113,23,17,0,0,0,5.0,0.0,0.0,12.373037857802395,61.86518928901197,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
ASELS.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,106,23,17,0,0,0,5.0,0.0,0.0,-9.893364928909953,-49.46682464454977,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
BIMAS.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,115,27,18,1,1,0,5.0,1009.4861193202087,2.0624303232998886,2.2177419354838745,11.088709677419374,100000.0,109475.63419996155,9475.634199961554,9.475634199961558,50.15626073846096,-3.387058700375989,2.8088110195267575,0.7605473704287306,14.808205341375759,97206.16058607481,False,10,1,1,0,100.0,inf,9475.634199961554,9475.634199961554,9475.634199961554,,,9475.634199961554,9475.634199961554,9.475634199961554,9.475634199961554,9.475634199961554,1,0
KCHOL.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,107,31,27,1,1,0,5.0,1004.1417389815657,0.5574136008918618,-2.660095515509542,-13.30047757754771,100000.0,104136.59824165714,4136.598241657135,4.13659824165713,19.96174951535876,-1.2624866111848432,2.2604012644673848,0.876227812148744,15.811454425346078,98737.51338881516,False,8,1,1,0,100.0,inf,4136.59824165716,4136.59824165716,4136.59824165716,,,4136.59824165716,4136.59824165716,4.13659824165716,4.13659824165716,4.13659824165716,1,0
SAHOL.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,113,33,22,0,0,0,5.0,0.0,0.0,-9.128847302342368,-45.64423651171184,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
AKBNK.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,105,31,25,0,0,0,5.0,0.0,0.0,-7.839127634104425,-39.19563817052213,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
GARAN.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,119,27,19,0,0,0,5.0,0.0,0.0,-6.110281024376429,-30.551405121882148,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
ISCTR.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,99,34,25,1,1,0,5.0,991.2698617551903,3.901895206243032,-9.902371416904643,-49.511857084523214,100000.0,91277.59289250808,-8722.40710749192,-8.722407107491915,-33.6215523122201,-9.519228887146959,-1.642210631069421,-0.8294697289224481,-3.5319617492984707,90492.10400223447,False,38,1,0,1,0.0,0.0,-8722.407107491916,-8722.407107491916,,-8722.407107491916,,-8722.407107491916,-8722.407107491916,-8.722407107491916,-8.722407107491916,-8.722407107491916,0,1
EREGL.IS,2026-05-04 09:45:00+03:00,2026-07-24 18:00:00+03:00,1794,125,34,23,0,0,0,5.0,0.0,0.0,22.39818448031008,111.99092240155039,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
