Sembol,Başlangıç,Bitiş,Mum Sayısı,5x3 Swing,Makro S/R Swing,S/R Çizgisi,Tamamlanan W,Kabul Edilen Giriş Sinyali,Açık İşlem,Kaldıraç,Toplam Ücret TL,Pozisyonda Kalma %,Buy & Hold %,Teorik 5x Buy & Hold %,Başlangıç Sermayesi,Bitiş Özsermayesi,Net Kâr,Toplam Getiri %,CAGR %,Maksimum Drawdown %,Sharpe,Sortino,Calmar,En Düşük Özsermaye,Likidasyon Riski,Drawdown Süresi (mum),Kapalı İşlem,Kazanan İşlem,Kaybeden İşlem,Win Rate %,Profit Factor,Expectancy TL,Toplam Trade PnL,Ortalama Kazanç TL,Ortalama Kayıp TL,Payoff Ratio,En İyi İşlem TL,En Kötü İşlem TL,Ortalama İşlem Getirisi (Teminat) %,En İyi İşlem Getirisi (Teminat) %,En Kötü İşlem Getirisi (Teminat) %,Maks. Ardışık Kazanç,Maks. Ardışık Kayıp
THYAO.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:10+03:00,5226,277,82,52,1,1,0,5.0,991.7693688589475,0.6123230003827019,8.14630091438071,40.73150457190355,100000.0,91776.60048916162,-8223.399510838382,-8.22339951083838,-31.391112816010036,-8.681934354027643,-2.679228611635822,-0.35335717629303803,-3.6156818902284558,91776.60048916162,False,4280,1,0,1,0.0,0.0,-8223.39951083838,-8223.39951083838,,-8223.39951083838,,-8223.39951083838,-8223.39951083838,-8.22339951083838,-8.22339951083838,-8.22339951083838,0,1
TUPRS.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:09+03:00,5226,303,72,54,0,0,0,5.0,0.0,0.0,8.180147058823529,40.900735294117645,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
ASELS.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:11+03:00,5218,283,73,57,3,3,0,5.0,2980.066886249994,3.0854733614411654,-16.00231080300404,-80.0115540150202,100000.0,83012.13494578085,-16987.865054219146,-16.987865054219142,-55.84260110552452,-22.43300468410283,-2.6177728150909476,-0.5977783136840157,-2.4893054627273106,83012.13494578085,False,2198,3,1,2,33.33333333333333,0.21202278309302028,-5662.621684739718,-16987.865054219154,4570.96265009068,-10779.413852154916,0.42404556618604056,4570.96265009068,-10951.281955397013,-5.662621684739716,4.57096265009068,-10.951281955397013,1,2
BIMAS.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:33:53+03:00,5227,285,81,61,0,0,0,5.0,0.0,0.0,4.99316005471957,24.96580027359785,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
KCHOL.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:05+03:00,5226,283,76,55,2,1,0,5.0,990.0672548592877,1.5499425947187142,-0.10096527050419413,-0.5048263525209706,100000.0,90076.18860350142,-9923.811396498582,-9.923811396498582,-36.7992860063867,-11.401569640336707,-2.584037398834295,-0.5305596908169001,-3.2275631485157477,90076.18860350142,False,3057,1,0,1,0.0,0.0,-9923.811396498499,-9923.811396498499,,-9923.811396498499,,-9923.811396498499,-9923.811396498499,-9.923811396498499,-9.923811396498499,-9.923811396498499,0,1
SAHOL.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:07+03:00,5226,287,78,51,3,3,0,5.0,3041.01893539706,3.233830845771144,-6.399999999999995,-31.999999999999975,100000.0,100725.36226519092,725.3622651909245,0.7253622651909319,3.2239790661890977,-9.90878606641752,0.25991161534580814,0.10530877616873464,0.32536569510928137,91876.82694161445,False,2411,3,1,2,33.33333333333333,1.0764703606297485,241.7874217302809,725.3622651908427,10210.897042552162,-4742.76738868066,2.152940721259497,10210.897042552162,-9208.644067685587,0.24178742173028075,10.210897042552162,-9.208644067685587,1,2
AKBNK.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:11+03:00,5224,277,67,49,0,0,0,5.0,0.0,0.0,-3.6042445961241176,-18.02122298062059,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
GARAN.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:00+03:00,5227,276,78,54,0,0,0,5.0,0.0,0.0,-0.7716049019328541,-3.8580245096642707,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
ISCTR.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:07+03:00,5226,263,68,46,0,0,0,5.0,0.0,0.0,-7.1682059470831945,-35.84102973541597,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
EREGL.IS,2026-05-05 09:55:00+03:00,2026-07-27 14:34:09+03:00,5226,296,76,60,0,0,0,5.0,0.0,0.0,20.800889134244027,104.00444567122014,100000.0,100000.0,0.0,0.0,0.0,0.0,,,,100000.0,False,0,0,0,0,,,,0.0,,,,,,,,,0,0
