Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AKBNK.IS,79.0,2026-05-08 14:35:00,75.27519694519042,5.946740558670043,2026-05-08 14:40:00,75.22470304870606,5.9427515408477785,-15.878509921781854,-0.0026701198354166975,Long,Closed,0
1,AKBNK.IS,80.0,2026-05-11 07:25:00,74.6745984725952,5.973967877807617,2026-05-11 07:30:00,74.87504695129394,5.9900037561035155,4.071906661987196,0.0006816083958391726,Long,Closed,1
2,AKBNK.IS,81.0,2026-05-12 13:20:00,73.77369694519042,5.975669452560425,2026-05-12 13:25:00,73.62629695129395,5.96373005305481,-23.87879901122958,-0.003996003996003848,Long,Closed,2
3,AKBNK.IS,85.0,2026-05-15 08:30:00,70.37030305480957,5.981475759658814,2026-05-15 08:35:00,70.37954695129395,5.982261490859986,-11.178006049346816,-0.0018687706008499174,Long,Closed,3
4,AKBNK.IS,88.0,2026-05-21 10:35:00,68.01794694519042,5.985579331176757,2026-05-21 10:40:00,67.88204695129394,5.973620131713868,-23.918398925779673,-0.003996003996003733,Long,Closed,4
5,AKBNK.IS,92.0,2026-06-05 12:10:00,65.21515152740477,5.999793940521239,2026-06-05 12:15:00,65.03489847564697,5.983210659759521,-28.566285361998776,-0.004761211075778554,Long,Closed,5
6,AKBNK.IS,75.0,2026-06-25 10:20:00,79.6795984725952,5.97596988544464,2026-06-25 10:25:00,79.57035152435303,5.967776364326477,-20.137267367934633,-0.0033697069687352223,Long,Closed,6
7,AKBNK.IS,77.0,2026-07-02 13:20:00,77.47740152740478,5.9657599176101686,2026-07-02 13:25:00,77.22270304870605,5.946148134750366,-31.523690912163122,-0.005284103173362571,Long,Closed,7
8,AKBNK.IS,80.0,2026-07-03 12:50:00,74.22415152740477,5.937932122192382,2026-07-03 12:55:00,74.12579695129395,5.930063756103516,-19.736361967161415,-0.0033237769582105674,Long,Closed,8
9,AKBNK.IS,86.0,2026-07-10 10:05:00,69.4193484725952,5.970063968643188,2026-07-10 10:10:00,68.9000015258789,5.925400131225586,-56.5593015174706,-0.009473818340061236,Long,Closed,9
10,AKBNK.IS,88.0,2026-07-16 08:05:00,68.068,5.989984,2026-07-16 08:10:00,67.932,5.978016,-23.935999999998938,-0.003996003996003819,Long,Closed,10
11,ALARK.IS,60.0,2026-05-07 13:50:00,99.74965152740478,5.984979091644287,2026-05-07 13:55:00,99.60029695129394,5.976017817077636,-20.922271475372824,-0.0034957969200899463,Long,Closed,11
12,ALARK.IS,61.0,2026-05-14 14:05:00,97.84774999999999,5.96871275,2026-05-14 14:10:00,97.65225,5.95678725,-23.851000000000283,-0.003996003996004044,Long,Closed,12
13,ALARK.IS,60.0,2026-06-04 08:30:00,98.59849999999999,5.915909999999999,2026-06-04 08:35:00,98.35154695129394,5.901092817077636,-26.634185739440554,-0.0045021282844804195,Long,Closed,13
14,ALARK.IS,57.0,2026-06-16 08:20:00,104.60449999999999,5.962456499999999,2026-06-16 08:25:00,104.3955,5.9505435,-23.825999999999553,-0.003996003996003921,Long,Closed,14
15,ALARK.IS,61.0,2026-07-08 09:50:00,98.4483484725952,6.005349256828308,2026-07-08 09:55:00,98.30160152435303,5.996397692985536,-20.953310792585818,-0.0034891077764979475,Long,Closed,15
16,ASELS.IS,13.0,2026-05-06 13:15:00,440.18974999999995,5.72246675,2026-05-06 13:20:00,439.31025,5.711033250000001,-22.866999999999184,-0.003996003996003854,Long,Closed,16
17,ASELS.IS,15.0,2026-05-21 10:55:00,391.89149999999995,5.878372499999999,2026-05-21 11:00:00,391.608,5.8741200000000005,-16.0049924999996,-0.002722691102001379,Long,Closed,17
18,ASELS.IS,15.0,2026-06-03 09:25:00,395.3949999999999,5.930924999999999,2026-06-03 09:30:00,394.35525,5.9153287500000005,-27.44250374999869,-0.004627019183348077,Long,Closed,18
19,ASELS.IS,15.0,2026-06-04 08:45:00,381.8815,5.7282225,2026-06-04 08:50:00,380.61899999999997,5.709285,-30.375007500000002,-0.005302693374777255,Long,Closed,19
20,ASELS.IS,15.0,2026-06-11 13:00:00,376.12575,5.64188625,2026-06-11 13:05:00,375.1245,5.6268675,-26.28750374999927,-0.004659346641382441,Long,Closed,20
21,ASELS.IS,16.0,2026-06-12 13:10:00,371.12075,5.937932,2026-06-12 13:15:00,371.1285,5.938056,-11.751988000000203,-0.0019791381915455083,Long,Closed,21
22,ASELS.IS,15.0,2026-06-24 08:45:00,377.62724999999995,5.66440875,2026-06-24 08:50:00,377.87175,5.66807625,-7.664984999999527,-0.001353183595728244,Long,Closed,22
23,ASELS.IS,16.0,2026-06-26 13:55:00,355.60524999999996,5.689684,2026-06-26 14:00:00,354.39525,5.670324,-30.720007999999673,-0.005399246777149606,Long,Closed,23
24,ASELS.IS,17.0,2026-06-30 09:00:00,352.352,5.989984,2026-06-30 09:05:00,351.89775,5.98226175,-19.694495749999803,-0.0032879045670238527,Long,Closed,24
25,ASELS.IS,16.0,2026-07-09 07:55:00,368.11774999999994,5.8898839999999995,2026-07-09 08:00:00,366.88275,5.870124,-31.520007999999308,-0.005351549877722433,Long,Closed,25
26,ASELS.IS,16.0,2026-07-13 09:10:00,356.60625,5.7057,2026-07-13 09:15:00,355.1445,5.682312,-34.77601199999992,-0.006094959777065027,Long,Closed,26
27,ASELS.IS,17.0,2026-07-14 09:55:00,347.84749999999997,5.913407499999999,2026-07-14 10:00:00,347.652,5.910084,-15.146991499999512,-0.002561465872257157,Long,Closed,27
28,ASELS.IS,16.0,2026-07-16 13:10:00,354.8545,5.677671999999999,2026-07-16 13:15:00,354.89475,5.678316,-10.711987999999767,-0.0018866866560801271,Long,Closed,28
29,ASTOR.IS,20.0,2026-05-04 14:30:00,293.04274999999996,5.860855,2026-05-04 14:35:00,292.95675,5.859135,-13.439989999999344,-0.0022931790668766494,Long,Closed,29
