symbol,bars,absorption_candidates,continuation_candidates,strict_candidates,absorption_entries,continuation_entries,strict_entries,continuation_exits,strict_exits,avg_volume_ratio,avg_impact_z
ASELS.IS,5066,26,7,4,13,6,4,6,4,1.5308957670711296,0.008346652233027947
TUPRS.IS,5073,11,6,4,10,5,3,5,3,1.4373675547497735,-0.004705904784061309
ENKAI.IS,5073,18,7,2,10,7,2,7,2,1.423320919409715,0.0006451290786445289
ASTOR.IS,5058,16,4,2,12,4,2,4,2,1.515753447550521,-0.008429959740991163
BIMAS.IS,5074,17,5,2,15,5,2,5,2,1.6908421914417031,-0.03730929907881833
VAKBN.IS,5073,10,2,2,7,2,2,2,2,1.526537798845159,0.013421010386988822
EREGL.IS,5073,3,3,2,2,3,2,3,2,1.3919052469702753,0.038534023558340416
THYAO.IS,5073,5,3,1,5,2,1,2,1,1.5410955344729969,0.006587689851550609
KRDMD.IS,5067,9,4,1,8,3,1,3,1,1.466836302438241,0.02104326089067078
SISE.IS,5073,13,7,1,12,5,1,5,1,1.340904451718027,0.012709067445290045
ISCTR.IS,5073,13,3,1,7,2,1,2,1,1.4186808252612504,-0.012311062280026134
TCELL.IS,5072,10,3,1,9,3,1,3,1,1.5398869317488606,-0.0169406924000786
AKBNK.IS,5071,14,6,1,11,4,1,4,1,1.4217669801955368,0.006350702219901621
FROTO.IS,5075,15,12,2,9,8,1,8,1,1.3664650506750178,0.004949938967509173
SAHOL.IS,5073,15,1,1,12,1,1,1,1,1.478412246383072,-0.016817501674520324
PGSUS.IS,5075,15,3,0,11,3,0,3,0,1.472333187850647,-0.0027018938366010978
TAVHL.IS,5071,9,2,0,7,2,0,2,0,1.4733268650616276,0.009915878779228934
TOASO.IS,5074,14,2,0,8,2,0,2,0,1.590858053857474,-0.006678960055560789
TTKOM.IS,5073,16,2,0,12,1,0,1,0,1.7956341491038432,-0.031396620281709066
ULKER.IS,5073,15,0,0,11,0,0,0,0,1.5240991784205753,-0.003447235530629912
SASA.IS,5048,7,0,0,7,0,0,0,0,2.2760519315640084,0.035997547460531465
KCHOL.IS,5073,10,0,0,9,0,0,0,0,1.4372610400792472,-0.015074564150424945
PETKM.IS,5069,19,3,0,13,3,0,3,0,1.5591578845362006,0.0038870762480589043
OYAKC.IS,5073,8,0,0,7,0,0,0,0,1.444421484035364,0.017492342870668944
MGROS.IS,5072,15,3,0,10,3,0,3,0,1.627095682995016,-0.00642559673152098
ALARK.IS,5070,6,2,0,5,1,0,1,0,1.412368603263362,0.04136237291682245
HALKB.IS,5068,7,1,0,5,1,0,1,0,1.6095891261000235,-0.007437455092830736
GUBRF.IS,5064,17,3,0,13,3,0,3,0,1.6950238089181342,-0.013996271567607094
GARAN.IS,5075,12,1,0,9,1,0,1,0,1.47251197259281,0.00630642363388688
ENJSA.IS,5074,9,4,0,8,4,0,4,0,1.565687110981636,0.010638293416252545
EKGYO.IS,5067,9,1,0,9,1,0,1,0,1.4319334302880078,0.01296285136942301
DOAS.IS,5073,9,5,0,8,5,0,5,0,1.3243856292369245,0.02260348184953789
CCOLA.IS,5069,8,3,0,6,2,0,2,0,1.6284315528692435,0.01868609032614456
BRSAN.IS,5067,8,4,0,7,4,0,4,0,1.4720562341147094,0.02160986103179283
YKBNK.IS,5072,19,1,0,13,1,0,1,0,1.6270474396073666,-0.015601827560355885
