time,entry_time,side,mode,pattern_key
2026-04-30 14:25:00,2026-04-30 14:30:00,short,bounce,"('bear', 30, 34, 40)"
2026-05-04 11:45:00,2026-05-04 11:50:00,short,bounce,"('bear', 40, 55, 60)"
2026-05-05 13:45:00,2026-05-05 13:50:00,long,bounce,"('bull', 205, 214, 228)"
2026-05-05 15:35:00,2026-05-05 15:40:00,long,bounce,"('bull', 228, 245, 251)"
2026-05-06 10:05:00,2026-05-06 10:10:00,short,breakout_retest,"('bear', 245, 260, 275)"
2026-05-06 16:10:00,2026-05-06 16:15:00,short,bounce,"('bear', 313, 339, 356)"
2026-05-06 17:40:00,2026-05-06 17:45:00,long,bounce,"('bull', 339, 356, 371)"
2026-05-07 14:15:00,2026-05-07 14:20:00,long,bounce,"('bull', 400, 422, 429)"
2026-05-07 16:50:00,2026-05-07 16:55:00,short,bounce,"('bear', 422, 429, 443)"
2026-05-08 12:55:00,2026-05-08 13:00:00,long,bounce,"('bull', 484, 486, 511)"
2026-05-11 14:40:00,2026-05-11 14:45:00,long,bounce,"('bull', 600, 623, 629)"
2026-05-12 12:00:00,2026-05-12 12:05:00,short,bounce,"('bear', 643, 677, 693)"
2026-05-12 16:50:00,2026-05-12 16:55:00,short,bounce,"('bear', 693, 714, 724)"
2026-05-13 15:25:00,2026-05-13 15:30:00,short,bounce,"('bear', 782, 799, 804)"
2026-05-15 10:00:00,2026-05-15 10:05:00,long,bounce,"('bull', 894, 906, 911)"
2026-05-18 16:30:00,2026-05-18 16:35:00,short,breakout_retest,"('bear', 1087, 1116, 1124)"
2026-05-21 17:35:00,2026-05-21 17:40:00,short,bounce,"('bear', 1124, 1143, 1161)"
2026-06-04 14:20:00,2026-06-04 14:25:00,short,breakout_retest,"('bear', 1809, 1829, 1845)"
2026-06-08 10:15:00,2026-06-08 10:20:00,long,breakout_retest,"('bull', 1952, 1976, 1985)"
2026-06-09 11:00:00,2026-06-09 11:05:00,short,bounce,"('bear', 2082, 2102, 2117)"
2026-06-23 10:15:00,2026-06-23 10:20:00,short,bounce,"('bear', 2730, 2740, 2745)"
2026-07-01 10:15:00,2026-07-01 10:20:00,long,breakout_retest,"('bull', 3659, 3701, 3706)"
2026-07-01 13:35:00,2026-07-01 13:40:00,long,bounce,"('bull', 3706, 3735, 3749)"
2026-07-02 11:35:00,2026-07-02 11:40:00,long,bounce,"('bull', 3749, 3786, 3797)"
2026-07-03 15:50:00,2026-07-03 15:55:00,long,bounce,"('bull', 3877, 3884, 3888)"
2026-07-08 10:00:00,2026-07-08 10:05:00,long,bounce,"('bull', 4053, 4117, 4123)"
2026-07-16 16:55:00,2026-07-16 17:00:00,long,bounce,"('bull', 4682, 4697, 4709)"
2026-07-20 10:25:00,2026-07-20 10:30:00,long,bounce,"('bull', 4326, 4331, 4340)"
