time,entry_time,side,mode,tl_kind,pattern_key
2026-04-30 14:25:00,2026-04-30 14:30:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 30, 34, 40)"
2026-05-04 11:45:00,2026-05-04 11:50:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 40, 55, 60)"
2026-05-06 15:15:00,2026-05-06 15:20:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 86, 100, 112)"
2026-05-07 10:05:00,2026-05-07 10:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 313, 339, 356)"
2026-05-13 12:35:00,2026-05-13 12:40:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 693, 714, 724)"
2026-05-13 15:50:00,2026-05-13 15:55:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 782, 799, 804)"
2026-05-15 14:50:00,2026-05-15 14:55:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 997, 1009, 1017)"
2026-05-15 16:45:00,2026-05-15 16:50:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 556, 569, 572)"
2026-05-18 17:50:00,2026-05-18 17:55:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1087, 1116, 1124)"
2026-05-20 10:05:00,2026-05-20 10:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1124, 1143, 1146)"
2026-05-21 17:35:00,2026-05-21 17:40:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1124, 1143, 1161)"
2026-05-25 09:55:00,2026-05-25 10:00:00,long,breakout,bearish_high_tl,"('structure_long_breakout', 1328, 1357, 1369, 1408)"
2026-05-25 10:00:00,2026-05-25 10:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 880, 894, 906)"
2026-05-25 12:20:00,2026-05-25 12:25:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1405, 1408, 1418)"
2026-06-02 10:05:00,2026-06-02 10:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1585, 1626, 1644)"
2026-06-03 12:30:00,2026-06-03 12:35:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1776, 1788, 1795)"
2026-06-03 14:00:00,2026-06-03 14:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1211, 1228, 1238)"
2026-06-04 11:20:00,2026-06-04 11:25:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1369, 1382, 1389)"
2026-06-04 14:35:00,2026-06-04 14:40:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1845, 1865, 1872)"
2026-06-08 12:20:00,2026-06-08 12:25:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 1795, 1802, 1809)"
2026-06-08 15:00:00,2026-06-08 15:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2082, 2102, 2117)"
2026-06-09 12:45:00,2026-06-09 12:50:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2152, 2176, 2181)"
2026-06-10 10:05:00,2026-06-10 10:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2117, 2119, 2142)"
2026-06-12 11:00:00,2026-06-12 11:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2424, 2433, 2439)"
2026-06-15 10:00:00,2026-06-15 10:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2424, 2433, 2449)"
2026-06-15 15:50:00,2026-06-15 15:55:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2555, 2586, 2608)"
2026-06-16 15:50:00,2026-06-16 15:55:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2689, 2703, 2709)"
2026-06-18 17:05:00,2026-06-18 17:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2839, 2843, 2855)"
2026-06-23 10:25:00,2026-06-23 10:30:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2821, 2823, 2839)"
2026-06-23 12:20:00,2026-06-23 12:25:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3009, 3014, 3035)"
2026-06-24 11:35:00,2026-06-24 11:40:00,long,breakout,bearish_high_tl,"('structure_long_breakout', 3083, 3141, 3156, 3205)"
2026-06-24 13:15:00,2026-06-24 13:20:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3192, 3205, 3211)"
2026-06-25 10:45:00,2026-06-25 10:50:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2709, 2713, 2730)"
2026-06-25 12:25:00,2026-06-25 12:30:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 2802, 2813, 2821)"
2026-06-25 16:40:00,2026-06-25 16:45:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3332, 3381, 3393)"
2026-06-26 10:05:00,2026-06-26 10:10:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3035, 3045, 3052)"
2026-07-02 10:15:00,2026-07-02 10:20:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3786, 3797, 3803)"
2026-07-02 14:45:00,2026-07-02 14:50:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3833, 3848, 3854)"
2026-07-02 15:40:00,2026-07-02 15:45:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 3854, 3861, 3868)"
2026-07-07 13:40:00,2026-07-07 13:45:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 4117, 4123, 4137)"
2026-07-08 12:00:00,2026-07-08 12:05:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 4200, 4214, 4215)"
2026-07-08 17:15:00,2026-07-08 17:20:00,long,breakout,bearish_high_tl,"('structure_long_breakout', 4215, 4240, 4260, 4279)"
2026-07-10 12:55:00,2026-07-10 13:00:00,long,bounce,bearish_high_tl,"('bearish_high_tl', 4398, 4405, 4412)"
