side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,pattern_side,base0_idx,base0_price,base1_idx,base1_price,parallel0_idx,parallel0_price,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
short,bounce,2026-04-30 14:30:00,2026-05-04 10:10:00,55,100,269.75,265.273025,272.73465,265.273025,167.52383026485586,0.4518955321394487,500.0,0.005,0.011064504170528221,4.476974999999982,750.0,0.0075,target,"('bear', 30, 34, 40)",bear,30,273.75,40,272.25,34,270.5,34,270.5,40,272.25,-0.15,
short,bounce,2026-05-04 11:50:00,2026-05-04 13:00:00,120,134,269.25,272.23465,272.23465,264.773025,167.52383026485586,0.45105791298812437,500.0,0.005,0.011085051067780828,-2.984649999999988,-500.0,-0.005,stop,"('bear', 40, 55, 60)",bear,40,272.25,60,271.5,55,267.25,55,267.25,60,271.5,-0.0375,
long,bounce,2026-05-05 13:50:00,2026-05-05 14:00:00,241,243,270.75,273.3594,269.0104,273.3594,287.42239595309337,0.7781961370430003,500.0,0.005,0.0064251154201292555,2.6093999999999937,750.0,0.0075,target,"('bull', 205, 214, 228)",bull,205,267.75,228,269.5,214,270.5,214,270.5,228,269.5,0.07608695652173914,
long,bounce,2026-05-05 15:40:00,2026-05-06 09:55:00,263,291,270.75,269.5131,269.5131,274.8369565217391,404.2363974452289,1.094470046082957,500.0000000000001,0.005000000000000001,0.004568421052631547,-1.2368999999999915,-500.0000000000001,-0.005000000000000001,stop,"('bull', 228, 245, 251)",bull,228,269.5,251,270.25,245,274.25,245,274.25,251,270.25,0.03260869565217391,
short,breakout_retest,2026-05-06 10:10:00,2026-05-06 11:45:00,294,313,269.5,273.98285,273.98285,262.775725,111.53618791616978,0.30059002643407756,500.0,0.005,0.016633951762523136,-4.482849999999985,-500.0,-0.005,stop,"('bear', 245, 260, 275)",bear,245,274.25,275,273.5,260,270.0,260,270.0,275,273.5,-0.025,292.0
short,bounce,2026-05-06 16:15:00,2026-05-06 17:40:00,367,384,267.5,269.48105,269.48105,256.49418604651163,252.3914085964537,0.6751470179955136,500.00000000000006,0.005000000000000001,0.007405794392523297,-1.981049999999982,-500.00000000000006,-0.005000000000000001,stop,"('bear', 313, 339, 356)",bear,313,274.0,356,269.0,339,259.75,339,259.75,356,269.0,-0.11627906976744186,
long,bounce,2026-05-06 17:45:00,2026-05-07 10:00:00,385,389,269.0,266.01535,266.01535,275.1171875,167.52383026485586,0.45063910341246227,500.0,0.005,0.011095353159851256,-2.984649999999988,-500.0,-0.005,stop,"('bull', 339, 356, 371)",bull,339,259.75,371,266.5,356,269.0,356,269.0,371,266.5,0.2109375,
long,bounce,2026-05-07 14:20:00,2026-05-07 14:45:00,441,446,261.25,260.2802,260.2802,262.7047,515.5702206640435,1.3469272014848137,500.00000000000006,0.005000000000000001,0.003712153110047926,-0.9698000000000206,-500.00000000000006,-0.005000000000000001,stop,"('bull', 400, 422, 429)",bull,400,260.25,429,260.75,422,262.0,422,262.0,429,260.75,0.017241379310344827,
short,bounce,2026-05-07 16:55:00,2026-05-08 09:55:00,472,485,260.5,261.968,261.968,258.298,340.5994550408679,0.8872615803814607,500.0000000000001,0.005000000000000001,0.005635316698656498,-1.4680000000000177,-500.0000000000001,-0.005000000000000001,stop,"('bear', 422, 429, 443)",bear,422,262.0,443,261.5,429,260.75,429,260.75,443,261.5,-0.023809523809523808,
long,bounce,2026-05-08 13:00:00,2026-05-08 17:50:00,522,580,260.25,259.5311,259.5311,263.75,695.5070246209301,1.8100570315759705,500.0,0.005,0.002762343900096135,-0.7189000000000192,-500.0,-0.005,stop,"('bull', 484, 486, 511)",bull,484,259.25,511,260.0,486,262.75,486,262.75,511,260.0,0.027777777777777776,
