key,pattern,mode,neckline_type,anchor0,anchor1,low0,low1,slope,low_slope,breakout_idx,stop,target,born,state,used
"('inverse_head_shoulders', 78, 81, 100, 112, 120)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 81, 'confirm_idx': 83, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 112, 'confirm_idx': 114, 'price': 271.5, 'kind': 'high', 'label': 'HH'}","{'idx': 100, 'confirm_idx': 102, 'price': 265.0, 'kind': 'low', 'label': 'LL'}","{'idx': 120, 'confirm_idx': 122, 'price': 269.0, 'kind': 'low', 'label': 'HL'}",0.008064516129032258,0.2,122.0,269.0,277.9032258064516,122,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 78, 81, 100, 125, 128)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 81, 'confirm_idx': 83, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 125, 'confirm_idx': 127, 'price': 272.0, 'kind': 'high', 'label': 'HH'}","{'idx': 100, 'confirm_idx': 102, 'price': 265.0, 'kind': 'low', 'label': 'LL'}","{'idx': 128, 'confirm_idx': 130, 'price': 270.5, 'kind': 'low', 'label': 'HL'}",0.017045454545454544,0.19642857142857142,130.0,270.5,278.5738636363636,130,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 78, 81, 100, 130, 132)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 81, 'confirm_idx': 83, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 130, 'confirm_idx': 132, 'price': 272.0, 'kind': 'high', 'label': 'LH'}","{'idx': 100, 'confirm_idx': 102, 'price': 265.0, 'kind': 'low', 'label': 'LL'}","{'idx': 132, 'confirm_idx': 134, 'price': 270.5, 'kind': 'low', 'label': 'HL'}",0.015306122448979591,0.171875,134.0,270.5,278.5408163265306,134,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 152, 154, 177, 195, 218)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 154, 'confirm_idx': 156, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 197, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 179, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 218, 'confirm_idx': 220, 'price': 269.0, 'kind': 'low', 'label': 'HL'}",0.036585365853658534,0.024390243902439025,220.0,269.0,277.3414634146341,220,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 152, 154, 177, 195, 229)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 154, 'confirm_idx': 156, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 197, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 179, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 229, 'confirm_idx': 231, 'price': 269.5, 'kind': 'low', 'label': 'HL'}",0.036585365853658534,0.028846153846153848,231.0,269.5,277.3414634146341,231,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 152, 154, 177, 195, 240)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 154, 'confirm_idx': 156, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 197, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 179, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 240, 'confirm_idx': 242, 'price': 270.25, 'kind': 'low', 'label': 'HL'}",0.036585365853658534,0.03571428571428571,242.0,270.25,277.3414634146341,242,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 198, 200, 206, 245, 252)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 200, 'confirm_idx': 202, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 245, 'confirm_idx': 247, 'price': 274.25, 'kind': 'high', 'label': 'HH'}","{'idx': 206, 'confirm_idx': 208, 'price': 267.75, 'kind': 'low', 'label': 'LL'}","{'idx': 252, 'confirm_idx': 254, 'price': 270.25, 'kind': 'low', 'label': 'HL'}",0.06111111111111111,0.05434782608695652,254.0,270.25,278.3666666666667,254,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 198, 200, 206, 245, 265)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 200, 'confirm_idx': 202, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 245, 'confirm_idx': 247, 'price': 274.25, 'kind': 'high', 'label': 'HH'}","{'idx': 206, 'confirm_idx': 208, 'price': 267.75, 'kind': 'low', 'label': 'LL'}","{'idx': 265, 'confirm_idx': 267, 'price': 270.0, 'kind': 'low', 'label': 'HL'}",0.06111111111111111,0.038135593220338986,267.0,270.0,278.3666666666667,267,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 261, 263, 296, 314, 318)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 263, 'confirm_idx': 265, 'price': 270.75, 'kind': 'high', 'label': 'LH'}","{'idx': 314, 'confirm_idx': 316, 'price': 274.0, 'kind': 'high', 'label': 'HH'}","{'idx': 296, 'confirm_idx': 298, 'price': 266.5, 'kind': 'low', 'label': 'LL'}","{'idx': 318, 'confirm_idx': 320, 'price': 269.25, 'kind': 'low', 'label': 'HL'}",0.06372549019607843,0.125,320.0,269.25,280.3529411764706,320,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 261, 263, 296, 314, 324)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 263, 'confirm_idx': 265, 'price': 270.75, 'kind': 'high', 'label': 'LH'}","{'idx': 314, 'confirm_idx': 316, 'price': 274.0, 'kind': 'high', 'label': 'HH'}","{'idx': 296, 'confirm_idx': 298, 'price': 266.5, 'kind': 'low', 'label': 'LL'}","{'idx': 324, 'confirm_idx': 326, 'price': 269.25, 'kind': 'low', 'label': 'HL'}",0.06372549019607843,0.09821428571428571,326.0,269.25,280.3529411764706,326,wait_right_shoulder_entry,True
