idx,confirm_idx,price,kind,label
12,14,272.75,low,L
14,16,274.75,high,H
17,19,272.5,low,LL
19,21,273.75,high,LH
27,29,272.0,low,LL
30,32,273.75,high,LH
37,39,270.5,low,LL
40,42,272.25,high,LH
43,45,271.0,low,HL
49,51,272.25,high,LH
55,57,267.25,low,LL
60,62,271.5,high,LH
67,69,269.75,low,HL
69,71,271.25,high,LH
71,73,270.5,low,HL
73,75,271.5,high,HH
78,80,269.25,low,LL
81,83,271.25,high,LH
85,87,270.25,low,HL
89,91,271.75,high,HH
100,102,265.0,low,LL
104,106,269.25,high,LH
107,109,266.0,low,HL
112,114,271.5,high,HH
120,122,269.0,low,HL
125,127,272.0,high,HH
128,130,270.5,low,HL
130,132,272.0,high,LH
132,134,270.5,low,HL
138,140,274.75,high,HH
144,146,269.75,low,LL
147,149,272.5,high,LH
152,154,269.0,low,LL
154,156,271.5,high,LH
162,164,269.75,low,HL
165,167,271.75,high,HH
177,179,268.0,low,LL
189,191,271.0,high,LH
193,195,270.25,low,HL
195,197,273.0,high,HH
198,200,269.75,low,LL
200,202,271.5,high,LH
206,208,267.75,low,LL
215,217,270.5,high,LH
218,220,269.0,low,HL
221,223,270.5,high,LH
229,231,269.5,low,HL
236,238,271.0,high,HH
240,242,270.25,low,HL
245,247,274.25,high,HH
252,254,270.25,low,HL
255,257,271.5,high,LH
261,263,270.0,low,LL
263,265,270.75,high,LH
265,267,270.0,low,HL
276,278,273.5,high,HH
292,294,266.75,low,LL
294,296,269.75,high,LH
296,298,266.5,low,LL
303,305,269.75,high,LH
305,307,268.75,low,HL
314,316,274.0,high,HH
318,320,269.25,low,HL
322,324,270.75,high,LH
324,326,269.25,low,HL
326,328,270.5,high,LH
339,341,259.75,low,LL
352,354,268.25,high,LH
354,356,266.75,low,HL
356,358,269.0,high,HH
358,360,267.0,low,HL
360,362,268.75,high,LH
362,364,267.5,low,HL
365,367,268.75,high,LH
367,369,267.0,low,LL
369,371,268.0,high,LH
374,376,266.5,low,LL
387,389,271.25,high,HH
390,392,261.5,low,LL
392,394,263.5,high,LH
396,398,261.0,low,LL
399,401,262.5,high,LH
402,404,260.5,low,LL
407,409,261.75,high,LH
414,416,260.5,low,HL
425,427,262.0,high,HH
430,432,260.75,low,HL
432,434,261.5,high,LH
455,457,259.5,low,LL
461,463,260.75,high,LH
469,471,259.5,low,HL
473,475,260.75,high,LH
477,479,260.0,low,HL
479,481,261.0,high,HH
484,486,259.25,low,LL
486,488,262.75,high,HH
488,490,260.5,low,HL
491,493,262.0,high,LH
512,514,260.0,low,LL
514,519,260.75,high,LH
533,535,259.75,low,LL
543,545,261.5,high,HH
550,552,260.25,low,HL
553,555,261.25,high,LH
557,559,260.5,low,HL
562,564,261.5,high,HH
571,573,260.0,low,LL
577,579,261.25,high,LH
581,583,258.75,low,LL
583,585,263.5,high,HH
588,590,261.0,low,HL
594,596,262.75,high,LH
606,608,261.5,low,HL
619,621,263.5,high,HH
621,623,262.75,low,HL
623,625,263.75,high,HH
636,638,262.75,low,HL
643,645,264.25,high,HH
661,664,261.5,low,LL
664,666,262.25,high,LH
668,670,261.25,low,LL
671,673,262.0,high,LH
678,680,259.5,low,LL
683,685,262.0,high,LH
685,687,260.25,low,HL
688,690,262.25,high,HH
692,694,261.25,low,HL
695,697,262.0,high,LH
701,703,260.75,low,LL
704,706,261.75,high,LH
718,720,257.75,low,LL
724,726,260.25,high,LH
728,731,259.0,low,HL
739,741,260.25,high,LH
746,748,259.0,low,HL
751,753,260.25,high,LH
767,769,255.0,low,LL
769,771,258.0,high,LH
777,779,253.5,low,LL
782,784,256.75,high,LH
802,804,253.5,low,HL
804,806,254.75,high,LH
815,817,252.25,low,LL
823,825,254.5,high,LH
825,827,253.5,low,HL
829,831,255.5,high,HH
848,850,250.25,low,LL
855,857,253.5,high,LH
869,871,250.0,low,LL
871,873,251.5,high,LH
874,876,250.75,low,HL
