time,entry_time,side,mode,pattern,pattern_key
2026-05-04 12:00:00,2026-05-04 12:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 78, 81, 100, 112, 120)"
2026-05-04 16:10:00,2026-05-04 16:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 78, 81, 100, 125, 128)"
2026-05-04 16:15:00,2026-05-04 16:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 78, 81, 100, 130, 132)"
2026-05-05 12:05:00,2026-05-05 12:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 154, 177, 195, 218)"
2026-05-06 10:00:00,2026-05-06 10:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 154, 177, 195, 229)"
2026-05-06 10:05:00,2026-05-06 10:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 154, 177, 195, 240)"
2026-05-06 10:10:00,2026-05-06 10:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 198, 200, 206, 245, 252)"
2026-05-06 10:15:00,2026-05-06 10:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 198, 200, 206, 245, 265)"
2026-05-06 12:20:00,2026-05-06 12:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 261, 263, 296, 314, 318)"
2026-05-06 13:15:00,2026-05-06 13:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 261, 263, 296, 314, 324)"
2026-05-08 10:20:00,2026-05-08 10:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 430, 432, 484, 486, 488)"
2026-05-08 15:30:00,2026-05-08 15:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 430, 432, 484, 491, 550)"
2026-05-11 10:35:00,2026-05-11 10:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 571, 577, 581, 583, 588)"
2026-05-11 17:45:00,2026-05-11 17:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 571, 577, 581, 594, 606)"
2026-05-11 17:50:00,2026-05-11 17:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 571, 577, 581, 619, 621)"
2026-05-11 17:55:00,2026-05-12 09:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 571, 577, 581, 623, 636)"
2026-05-12 11:10:00,2026-05-12 11:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 668, 671, 678, 688, 692)"
2026-05-15 10:20:00,2026-05-15 10:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 955, 960, 962, 971, 973)"
2026-05-15 15:45:00,2026-05-15 15:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 955, 960, 962, 976, 980)"
2026-05-15 15:50:00,2026-05-15 15:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 955, 960, 962, 988, 994)"
2026-05-15 15:55:00,2026-05-15 16:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 955, 960, 962, 997, 1004)"
2026-05-15 16:00:00,2026-05-15 16:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 955, 960, 962, 1017, 1019)"
2026-05-18 10:20:00,2026-05-18 10:25:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1032, 1036, 1053, 1068, 1070)"
2026-05-20 14:10:00,2026-05-20 14:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1167, 1169, 1207, 1211, 1213)"
2026-05-20 15:15:00,2026-05-20 15:20:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1167, 1169, 1207, 1215, 1217)"
2026-05-20 16:40:00,2026-05-20 16:45:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1167, 1169, 1207, 1238, 1240)"
