side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_cash,pnl_pct_on_cash,exit_reason,pattern,neckline_type,pattern_key,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,slope,low_slope,breakout_idx
long,inverse_head_shoulders_right_shoulder_entry,2026-05-04 12:05:00,2026-05-04 16:10:00,123,172,269.75,268.514,268.514,277.9032258064516,404.5307443365728,1.091221682847905,499.99999999999994,0.004999999999999999,0.004582020389249268,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 78, 81, 100, 112, 120)",81,271.25,112,271.5,100,265.0,120,269.0,0.008064516129032258,0.2,122.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-05 12:10:00,2026-05-06 10:00:00,221,292,270.5,268.51355,268.51355,277.3414634146341,251.70530343074446,0.6808628457801638,500.0,0.005,0.007343622920517526,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 152, 154, 177, 195, 218)",154,271.5,195,273.0,177,268.0,218,269.0,0.036585365853658534,0.024390243902439025,220.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-06 12:25:00,2026-05-06 13:15:00,321,331,270.0,268.76445,268.76445,280.3529411764706,404.6780785884864,1.0926308121889132,500.00000000000006,0.005000000000000001,0.004576111111111072,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 261, 263, 296, 314, 318)",263,270.75,314,274.0,296,266.5,318,269.25,0.06372549019607843,0.125,320.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-08 10:25:00,2026-05-08 12:05:00,491,511,261.25,260.0302,260.0302,266.2037037037037,409.90326282996523,1.0708722741432841,500.00000000000006,0.005000000000000001,0.004669090909090988,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 430, 432, 484, 486, 488)",432,261.5,486,262.75,484,259.25,488,260.5,0.023148148148148147,0.3125,490.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-08 15:35:00,2026-05-08 17:50:00,553,580,261.0,259.7802,259.7802,264.6906779661017,409.9032628299652,1.069847515986209,500.0,0.005,0.004673563218390884,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 430, 432, 484, 491, 550)",432,261.5,491,262.0,484,259.25,550,260.25,0.00847457627118644,0.015151515151515152,552.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-11 10:40:00,2026-05-11 17:45:00,591,676,262.0,260.52795,260.52795,267.5,339.66237559864936,0.8899154240684612,500.00000000000006,0.005000000000000001,0.005618511450381772,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 571, 577, 581, 583, 588)",577,261.25,583,263.5,581,258.75,588,261.0,0.375,0.32142857142857145,590.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-12 11:15:00,2026-05-12 11:35:00,695,699,262.0,260.77885,260.77885,264.8529411764706,409.4501085042711,1.0727592842811904,500.0,0.005,0.004660877862595507,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 668, 671, 678, 688, 692)",671,262.0,688,262.25,678,259.5,692,261.25,0.014705882352941176,0.125,694.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-15 10:25:00,2026-05-15 15:45:00,976,1040,257.75,255.28605,255.28605,261.445925,202.9261957426075,0.5230422695265708,500.0,0.005,0.009559456838021382,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 955, 960, 962, 971, 973)",960,253.0,971,258.0,962,251.75,973,255.75,0.45454545454545453,0.36363636363636365,975.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-18 10:25:00,2026-05-18 10:40:00,1073,1076,260.25,259.03155,259.03155,270.703125,410.3574213139583,1.0679551889695764,500.00000000000006,0.005000000000000001,0.004681844380403529,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 1032, 1036, 1053, 1068, 1070)",1036,256.75,1068,263.25,1053,252.75,1070,259.5,0.203125,0.39705882352941174,1072.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-20 14:15:00,2026-05-20 15:15:00,1216,1228,251.5,250.5473,250.5473,255.80475580124627,524.8241838983979,1.3199328225044709,500.0,0.005,0.0037880715705765127,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 1167, 1169, 1207, 1211, 1213)",1169,251.25,1211,252.25,1207,248.60000610351562,1213,251.0,0.023809523809523808,0.3999989827473958,1215.0
