time,entry_time,side,mode,pattern_key
2026-05-06 15:40:00,2026-05-06 15:45:00,long,breakout,"('breakout', 326, 339, 352, 358)"
2026-05-12 15:40:00,2026-05-12 15:45:00,long,breakout,"('breakout', 704, 718, 724, 746)"
2026-05-18 10:20:00,2026-05-18 10:25:00,long,breakout,"('breakout', 1036, 1053, 1059, 1070)"
2026-05-18 17:10:00,2026-05-18 17:15:00,long,bounce,"('bounce', 1124, 1143, 1148, 1150, 1152)"
2026-05-22 12:30:00,2026-05-22 12:35:00,long,bounce,"('bounce', 1344, 1357, 1369, 1373, 1377)"
2026-06-02 14:20:00,2026-06-02 14:25:00,long,bounce,"('bounce', 1706, 1710, 1720, 1723, 1729)"
2026-06-02 16:05:00,2026-06-02 16:10:00,long,breakout,"('breakout', 1706, 1710, 1720, 1750)"
2026-06-02 17:50:00,2026-06-02 17:55:00,long,breakout,"('breakout', 1706, 1710, 1720, 1771)"
2026-06-10 14:45:00,2026-06-10 14:50:00,long,breakout,"('breakout', 2283, 2288, 2294, 2315)"
2026-06-16 12:55:00,2026-06-16 13:00:00,long,breakout,"('breakout', 2661, 2665, 2668, 2681)"
2026-06-18 14:45:00,2026-06-18 14:50:00,long,bounce,"('bounce', 2883, 2885, 2888, 2892, 2897)"
2026-06-24 11:30:00,2026-06-24 11:35:00,long,bounce,"('bounce', 3220, 3235, 3239, 3242, 3246)"
2026-06-24 16:55:00,2026-06-24 17:00:00,long,breakout,"('breakout', 3296, 3300, 3305, 3311)"
2026-06-25 15:50:00,2026-06-25 15:55:00,long,breakout,"('breakout', 3377, 3381, 3384, 3395)"
2026-07-06 15:05:00,2026-07-06 15:10:00,long,breakout,"('breakout', 4043, 4053, 4055, 4065)"
2026-07-07 11:10:00,2026-07-07 11:15:00,long,breakout,"('breakout', 4043, 4053, 4055, 4115)"
2026-07-17 13:45:00,2026-07-17 13:50:00,long,breakout,"('breakout', 4800, 4806, 4812, 4824)"
2026-07-17 17:20:00,2026-07-17 17:25:00,long,breakout,"('breakout', 4800, 4806, 4812, 4868)"
2026-07-20 11:20:00,2026-07-20 11:25:00,long,breakout,"('breakout', 4800, 4806, 4812, 4893)"
