key,pattern,mode,neckline_type,anchor0,anchor1,low0,low1,slope,low_slope,breakout_idx,stop,target,born,state,used
"('inverse_head_shoulders', 152, 156, 177, 195, 198)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 156, 'confirm_idx': 159, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 198, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 180, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 198, 'confirm_idx': 201, 'price': 269.75, 'kind': 'low', 'label': 'HL'}",0.04487179487179487,0.08333333333333333,201.0,269.75,277.1923076923077,201,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 152, 156, 177, 195, 218)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 156, 'confirm_idx': 159, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 198, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 180, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 218, 'confirm_idx': 221, 'price': 269.0, 'kind': 'low', 'label': 'HL'}",0.04487179487179487,0.024390243902439025,221.0,269.0,277.1923076923077,221,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 152, 156, 177, 195, 229)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 156, 'confirm_idx': 159, 'price': 271.25, 'kind': 'high', 'label': 'LH'}","{'idx': 195, 'confirm_idx': 198, 'price': 273.0, 'kind': 'high', 'label': 'HH'}","{'idx': 177, 'confirm_idx': 180, 'price': 268.0, 'kind': 'low', 'label': 'LL'}","{'idx': 229, 'confirm_idx': 232, 'price': 269.5, 'kind': 'low', 'label': 'HL'}",0.04487179487179487,0.028846153846153848,232.0,269.5,277.1923076923077,232,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 198, 201, 206, 245, 252)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 201, 'confirm_idx': 204, 'price': 271.0, 'kind': 'high', 'label': 'LH'}","{'idx': 245, 'confirm_idx': 248, 'price': 274.25, 'kind': 'high', 'label': 'HH'}","{'idx': 206, 'confirm_idx': 209, 'price': 267.75, 'kind': 'low', 'label': 'LL'}","{'idx': 252, 'confirm_idx': 255, 'price': 270.25, 'kind': 'low', 'label': 'HL'}",0.07386363636363637,0.05434782608695652,255.0,270.25,277.8693181818182,255,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 252, 255, 296, 314, 322)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 255, 'confirm_idx': 258, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 314, 'confirm_idx': 317, 'price': 274.0, 'kind': 'high', 'label': 'HH'}","{'idx': 296, 'confirm_idx': 299, 'price': 266.5, 'kind': 'low', 'label': 'LL'}","{'idx': 322, 'confirm_idx': 326, 'price': 269.0, 'kind': 'low', 'label': 'HL'}",0.0423728813559322,0.09615384615384616,326.0,269.0,280.73728813559325,326,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 252, 255, 296, 314, 359)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 255, 'confirm_idx': 258, 'price': 271.5, 'kind': 'high', 'label': 'LH'}","{'idx': 314, 'confirm_idx': 317, 'price': 274.0, 'kind': 'high', 'label': 'HH'}","{'idx': 296, 'confirm_idx': 299, 'price': 266.5, 'kind': 'low', 'label': 'LL'}","{'idx': 359, 'confirm_idx': 363, 'price': 267.25, 'kind': 'low', 'label': 'HL'}",0.0423728813559322,0.011904761904761904,363.0,267.25,280.73728813559325,363,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 400, 407, 484, 491, 533)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 407, 'confirm_idx': 410, 'price': 261.75, 'kind': 'high', 'label': 'LH'}","{'idx': 491, 'confirm_idx': 496, 'price': 262.0, 'kind': 'high', 'label': 'HH'}","{'idx': 484, 'confirm_idx': 487, 'price': 259.25, 'kind': 'low', 'label': 'LL'}","{'idx': 533, 'confirm_idx': 536, 'price': 259.75, 'kind': 'low', 'label': 'HL'}",0.002976190476190476,0.01020408163265306,536.0,259.75,264.7291666666667,536,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 400, 407, 484, 491, 550)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 407, 'confirm_idx': 410, 'price': 261.75, 'kind': 'high', 'label': 'LH'}","{'idx': 491, 'confirm_idx': 496, 'price': 262.0, 'kind': 'high', 'label': 'HH'}","{'idx': 484, 'confirm_idx': 487, 'price': 259.25, 'kind': 'low', 'label': 'LL'}","{'idx': 550, 'confirm_idx': 553, 'price': 260.25, 'kind': 'low', 'label': 'HL'}",0.002976190476190476,0.015151515151515152,553.0,260.25,264.7291666666667,553,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 533, 543, 581, 584, 588)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 543, 'confirm_idx': 548, 'price': 261.5, 'kind': 'high', 'label': 'LH'}","{'idx': 584, 'confirm_idx': 587, 'price': 263.0, 'kind': 'high', 'label': 'HH'}","{'idx': 581, 'confirm_idx': 584, 'price': 258.75, 'kind': 'low', 'label': 'LL'}","{'idx': 588, 'confirm_idx': 591, 'price': 261.0, 'kind': 'low', 'label': 'HL'}",0.036585365853658534,0.32142857142857145,591.0,261.0,267.140243902439,591,wait_right_shoulder_entry,True
"('inverse_head_shoulders', 533, 543, 581, 594, 606)",inverse_head_shoulders,inverse_head_shoulders_right_shoulder_entry,rising,"{'idx': 543, 'confirm_idx': 548, 'price': 261.5, 'kind': 'high', 'label': 'LH'}","{'idx': 594, 'confirm_idx': 597, 'price': 262.75, 'kind': 'high', 'label': 'LH'}","{'idx': 581, 'confirm_idx': 584, 'price': 258.75, 'kind': 'low', 'label': 'LL'}","{'idx': 606, 'confirm_idx': 609, 'price': 261.5, 'kind': 'low', 'label': 'HL'}",0.024509803921568627,0.11,609.0,261.5,266.4313725490196,609,wait_right_shoulder_entry,True
