idx,confirm_idx,price,kind,label
12,15,272.75,low,L
15,18,274.25,high,H
27,30,272.0,low,LL
30,33,273.75,high,LH
37,40,270.5,low,LL
40,43,272.25,high,LH
43,47,271.0,low,HL
49,52,272.25,high,LH
55,58,267.25,low,LL
60,63,271.5,high,LH
67,70,269.75,low,HL
73,76,271.5,high,LH
78,81,269.25,low,LL
81,85,271.25,high,LH
85,88,270.25,low,HL
89,92,271.75,high,HH
100,103,265.0,low,LL
104,107,269.25,high,LH
107,110,266.0,low,HL
112,115,271.5,high,HH
120,123,269.0,low,HL
125,128,272.0,high,HH
132,135,270.5,low,HL
138,141,274.75,high,HH
144,147,269.75,low,LL
147,150,272.5,high,LH
152,155,269.0,low,LL
156,159,271.25,high,LH
162,165,269.75,low,HL
165,168,271.75,high,HH
177,180,268.0,low,LL
195,198,273.0,high,HH
198,201,269.75,low,HL
201,204,271.0,high,LH
206,209,267.75,low,LL
215,218,270.5,high,LH
218,221,269.0,low,HL
221,228,270.5,high,LH
229,232,269.5,low,HL
245,248,274.25,high,HH
252,255,270.25,low,HL
255,258,271.5,high,LH
265,268,270.0,low,LL
276,279,273.5,high,HH
296,299,266.5,low,LL
314,317,274.0,high,HH
322,326,269.0,low,HL
326,329,270.5,high,LH
339,342,259.75,low,LL
356,359,269.0,high,LH
359,363,267.25,low,HL
365,368,268.75,high,LH
374,377,266.5,low,LL
387,390,271.25,high,HH
390,393,261.5,low,LL
395,399,263.25,high,LH
400,403,260.25,low,LL
407,410,261.75,high,LH
420,423,260.5,low,HL
425,428,262.0,high,HH
455,459,259.5,low,LL
461,464,260.75,high,LH
469,472,259.5,low,HL
479,482,261.0,high,HH
484,487,259.25,low,LL
491,496,262.0,high,HH
533,536,259.75,low,HL
543,548,261.5,high,LH
550,553,260.25,low,HL
562,565,261.5,high,LH
571,574,260.0,low,LL
577,580,261.25,high,LH
581,584,258.75,low,LL
584,587,263.0,high,HH
588,591,261.0,low,HL
594,597,262.75,high,LH
606,609,261.5,low,HL
623,627,263.75,high,HH
639,642,262.75,low,HL
643,650,264.25,high,HH
678,681,259.5,low,LL
683,686,262.0,high,LH
686,689,260.5,low,HL
693,696,262.5,high,HH
701,704,260.75,low,HL
704,707,261.75,high,LH
718,721,257.75,low,LL
724,727,260.25,high,LH
728,735,259.0,low,HL
739,744,260.25,high,LH
746,749,259.0,low,HL
751,755,260.25,high,LH
767,770,255.0,low,LL
770,773,257.5,high,LH
777,780,253.5,low,LL
782,786,256.75,high,LH
802,805,253.5,low,HL
806,809,254.5,high,LH
815,818,252.25,low,LL
829,832,255.5,high,HH
848,851,250.25,low,LL
855,858,253.5,high,LH
869,872,250.0,low,LL
880,883,255.0,high,HH
886,889,253.25,low,HL
891,894,254.75,high,LH
894,897,252.5,low,LL
909,912,254.25,high,LH
912,915,253.0,low,HL
923,926,255.5,high,HH
941,944,251.25,low,LL
950,954,253.25,high,LH
962,965,251.75,low,HL
971,974,258.0,high,HH
980,985,256.25,low,HL
997,1000,258.5,high,HH
1014,1017,257.0,low,HL
1017,1022,258.0,high,LH
1053,1056,252.75,low,LL
1059,1062,255.75,high,LH
1066,1069,254.75,low,HL
1069,1072,262.5,high,HH
1080,1083,257.5,low,HL
1087,1090,259.25,high,LH
1118,1122,254.5,low,LL
1124,1127,256.25,high,LH
1143,1146,250.0,low,LL
1148,1151,252.75,high,LH
1153,1159,251.25,low,HL
1161,1164,254.25,high,HH
1167,1170,248.89999389648438,low,LL
1172,1175,251.5,high,LH
1175,1178,249.6999969482422,low,HL
1182,1186,252.0,high,HH
1187,1190,251.0,low,HL
1190,1193,252.0,high,LH
1207,1210,248.60000610351562,low,LL
1211,1214,252.25,high,HH
1217,1220,251.25,low,HL
1220,1223,252.25,high,LH
1230,1233,250.25,low,LL
1245,1248,252.0,high,LH
1254,1257,249.3000030517578,low,LL
1257,1260,250.75,high,LH
1264,1267,248.60000610351562,low,LL
1268,1271,250.75,high,LH
1272,1275,249.1999969482422,low,HL
1288,1291,252.75,high,HH
1294,1301,251.0,low,HL
1305,1308,253.5,high,HH
1321,1325,250.5,low,LL
1328,1331,252.0,high,LH
1342,1345,248.6999969482422,low,LL
1345,1348,249.89999389648438,high,LH
1357,1360,239.0,low,LL
1369,1372,244.8000030517578,high,LH
1373,1376,241.39999389648438,low,HL
1377,1380,243.39999389648438,high,LH
1382,1385,240.6999969482422,low,LL
1389,1392,244.3000030517578,high,HH
1394,1398,243.0,low,HL
1398,1401,244.10000610351562,high,LH
1401,1404,242.5,low,LL
1405,1408,244.8000030517578,high,HH
1410,1413,241.0,low,LL
1413,1416,243.3000030517578,high,LH
1423,1426,240.1999969482422,low,LL
1427,1431,241.39999389648438,high,LH
1432,1435,239.1999969482422,low,LL
1438,1441,241.89999389648438,high,HH
1441,1444,240.8000030517578,low,HL
1444,1447,242.89999389648438,high,HH
1447,1450,240.5,low,LL
1450,1453,244.0,high,HH
1461,1464,232.3000030517578,low,LL
1465,1468,235.60000610351562,high,LH
1470,1473,234.60000610351562,low,HL
1474,1477,236.10000610351562,high,HH
1477,1482,235.10000610351562,low,HL
1487,1490,236.6999969482422,high,HH
1513,1518,232.5,low,LL
1529,1535,234.89999389648438,high,LH
1545,1548,233.1999969482422,low,HL
1550,1553,236.39999389648438,high,HH
1561,1565,232.1999969482422,low,LL
1585,1588,241.5,high,HH
1591,1594,236.89999389648438,low,HL
1606,1609,241.0,high,LH
1627,1630,238.39999389648438,low,HL
1644,1647,240.5,high,LH
1650,1654,239.39999389648438,low,HL
1658,1661,245.3000030517578,high,HH
1661,1664,242.3000030517578,low,HL
1666,1669,245.1999969482422,high,LH
1672,1675,243.1999969482422,low,HL
1677,1680,245.3000030517578,high,HH
1680,1683,238.1999969482422,low,LL
1693,1696,245.6999969482422,high,HH
1697,1700,243.0,low,HL
1700,1703,244.1999969482422,high,LH
1710,1713,240.8000030517578,low,LL
1720,1723,243.0,high,LH
1723,1726,241.60000610351562,low,HL
1744,1749,244.0,high,HH
1750,1753,243.10000610351562,low,HL
1757,1760,249.3000030517578,high,HH
1762,1768,247.39999389648438,low,HL
1776,1779,252.75,high,HH
1790,1793,248.3000030517578,low,HL
1795,1798,251.5,high,LH
1804,1807,249.1999969482422,low,HL
1809,1812,251.0,high,LH
1815,1818,247.1999969482422,low,LL
1818,1821,248.1999969482422,high,LH
1831,1834,244.1999969482422,low,LL
1835,1838,245.8000030517578,high,LH
1840,1845,244.1999969482422,low,HL
1845,1848,245.3000030517578,high,LH
1857,1860,237.89999389648438,low,LL
1860,1863,239.3000030517578,high,LH
1865,1868,235.5,low,LL
1872,1875,239.8000030517578,high,HH
1888,1891,230.60000610351562,low,LL
1892,1895,232.89999389648438,high,LH
1895,1898,229.5,low,LL
1904,1908,232.60000610351562,high,LH
1916,1919,228.10000610351562,low,LL
1919,1922,229.1999969482422,high,LH
1927,1930,227.39999389648438,low,LL
1939,1946,233.60000610351562,high,HH
1953,1956,231.8000030517578,low,HL
1957,1962,233.10000610351562,high,LH
1962,1966,232.10000610351562,low,HL
1976,1979,236.8000030517578,high,HH
1985,1988,234.10000610351562,low,HL
1988,1991,237.10000610351562,high,HH
1993,1996,236.0,low,HL
2005,2008,238.39999389648438,high,HH
2021,2027,236.5,low,HL
2035,2038,240.89999389648438,high,HH
2041,2044,239.0,low,HL
2047,2050,241.8000030517578,high,HH
2054,2057,239.3000030517578,low,HL
2066,2069,246.0,high,HH
2078,2081,240.1999969482422,low,HL
2082,2085,244.6999969482422,high,LH
2096,2099,238.60000610351562,low,LL
2099,2102,239.6999969482422,high,LH
2102,2105,237.60000610351562,low,LL
2117,2120,240.39999389648438,high,HH
2120,2123,237.60000610351562,low,HL
2123,2126,239.0,high,LH
2127,2130,237.89999389648438,low,HL
2142,2145,239.39999389648438,high,HH
2145,2148,238.10000610351562,low,HL
2152,2155,239.5,high,HH
2163,2166,235.0,low,LL
2166,2169,236.39999389648438,high,LH
2178,2181,232.5,low,LL
2181,2184,235.39999389648438,high,LH
2235,2240,229.60000610351562,low,LL
2245,2248,231.0,high,LH
2257,2260,228.8000030517578,low,LL
2269,2272,237.39999389648438,high,HH
2276,2279,234.0,low,HL
2279,2282,235.60000610351562,high,LH
2288,2291,232.60000610351562,low,LL
2294,2297,234.10000610351562,high,LH
2299,2302,233.0,low,HL
2310,2313,235.39999389648438,high,HH
2315,2318,234.1999969482422,low,HL
2327,2330,235.89999389648438,high,HH
2333,2340,234.8000030517578,low,HL
2340,2346,236.0,high,HH
2350,2353,233.39999389648438,low,LL
2357,2360,238.89999389648438,high,HH
2360,2363,235.1999969482422,low,HL
2363,2366,236.1999969482422,high,LH
2375,2378,233.8000030517578,low,LL
2378,2381,235.10000610351562,high,LH
2385,2391,232.10000610351562,low,LL
2391,2394,233.1999969482422,high,LH
2396,2399,232.0,low,LL
2402,2405,233.6999969482422,high,HH
2407,2410,232.60000610351562,low,HL
2411,2414,234.10000610351562,high,HH
2421,2424,230.3000030517578,low,LL
2424,2427,236.60000610351562,high,HH
2433,2438,233.39999389648438,low,HL
2439,2442,235.3000030517578,high,LH
2445,2448,233.1999969482422,low,LL
2449,2453,235.89999389648438,high,HH
2461,2464,230.3000030517578,low,LL
2465,2468,233.0,high,LH
2468,2471,230.39999389648438,low,HL
2487,2490,235.6999969482422,high,HH
2495,2498,233.10000610351562,low,HL
2502,2505,234.89999389648438,high,LH
2513,2516,232.6999969482422,low,LL
2523,2526,234.89999389648438,high,LH
2535,2538,233.10000610351562,low,HL
2538,2541,234.10000610351562,high,LH
2541,2544,232.39999389648438,low,LL
2547,2550,234.1999969482422,high,HH
2551,2554,229.0,low,LL
2555,2558,236.6999969482422,high,HH
2565,2568,232.60000610351562,low,HL
2568,2571,235.10000610351562,high,LH
2571,2574,232.6999969482422,low,HL
2574,2577,233.89999389648438,high,LH
2587,2590,231.8000030517578,low,LL
2600,2605,234.8000030517578,high,HH
2605,2608,233.5,low,HL
2609,2612,235.8000030517578,high,HH
2612,2615,234.0,low,HL
2616,2619,235.60000610351562,high,LH
2619,2625,234.60000610351562,low,HL
2626,2629,235.5,high,LH
2641,2644,230.6999969482422,low,LL
2648,2651,233.10000610351562,high,LH
2651,2654,229.5,low,LL
