time,entry_time,side,mode,pattern,pattern_key
2026-05-05 10:30:00,2026-05-05 10:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 156, 177, 195, 198)"
2026-05-05 12:10:00,2026-05-05 12:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 156, 177, 195, 218)"
2026-05-06 10:00:00,2026-05-06 10:05:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 152, 156, 177, 195, 229)"
2026-05-06 10:05:00,2026-05-06 10:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 198, 201, 206, 245, 252)"
2026-05-06 12:50:00,2026-05-06 12:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 252, 255, 296, 314, 322)"
2026-05-06 15:55:00,2026-05-06 16:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 252, 255, 296, 314, 359)"
2026-05-08 14:10:00,2026-05-08 14:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 400, 407, 484, 491, 533)"
2026-05-08 17:55:00,2026-05-11 09:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 400, 407, 484, 491, 550)"
2026-05-11 17:50:00,2026-05-11 17:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 533, 543, 581, 584, 588)"
2026-05-11 17:55:00,2026-05-12 09:55:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 533, 543, 581, 594, 606)"
2026-05-12 09:55:00,2026-05-12 10:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 533, 543, 581, 623, 639)"
2026-05-12 10:45:00,2026-05-12 10:50:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 533, 543, 581, 683, 686)"
2026-05-15 11:10:00,2026-05-15 11:15:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 894, 909, 941, 971, 980)"
2026-05-15 15:30:00,2026-05-15 15:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 894, 909, 941, 997, 1014)"
2026-05-18 10:05:00,2026-05-18 10:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 886, 891, 1053, 1059, 1066)"
2026-05-18 14:55:00,2026-05-18 15:00:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1014, 1017, 1053, 1069, 1080)"
2026-05-20 14:35:00,2026-05-20 14:40:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1187, 1190, 1207, 1211, 1217)"
2026-05-21 11:05:00,2026-05-21 11:10:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1187, 1190, 1207, 1220, 1272)"
2026-05-21 16:30:00,2026-05-21 16:35:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1254, 1257, 1264, 1288, 1294)"
2026-05-22 12:30:00,2026-05-22 12:35:00,long,bullish_pennant_bounce,bullish_pennant,"('bullish_pennant', 1345, 1357, 1369, 1373, 1377)"
2026-05-22 15:25:00,2026-05-22 15:30:00,long,inverse_head_shoulders_right_shoulder_entry,inverse_head_shoulders,"('inverse_head_shoulders', 1373, 1377, 1382, 1389, 1394)"
