side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_cash,pnl_pct_on_cash,exit_reason,pattern,neckline_type,pattern_key,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,slope,low_slope,breakout_idx
long,inverse_head_shoulders_right_shoulder_entry,2026-05-05 10:35:00,2026-05-05 10:40:00,202,203,270.5,269.2631,269.2631,277.1923076923077,404.2363974452287,1.0934594550893437,499.99999999999994,0.004999999999999999,0.004572643253234719,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 152, 156, 177, 195, 198)",156,271.25,195,273.0,177,268.0,198,269.75,0.04487179487179487,0.08333333333333333,201.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-05 12:15:00,2026-05-06 10:00:00,222,292,269.75,268.514,268.514,277.1923076923077,404.5307443365728,1.091221682847905,499.99999999999994,0.004999999999999999,0.004582020389249268,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 152, 156, 177, 195, 218)",156,271.25,195,273.0,177,268.0,218,269.0,0.04487179487179487,0.024390243902439025,221.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-06 12:55:00,2026-05-06 13:20:00,327,332,270.0,268.514,268.514,280.73728813559325,336.47375504710857,0.9084791386271932,499.99999999999994,0.004999999999999999,0.005503703703703667,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 252, 255, 296, 314, 322)",255,271.5,314,274.0,296,266.5,322,269.0,0.0423728813559322,0.09615384615384616,326.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-06 16:00:00,2026-05-06 16:35:00,364,371,268.25,266.7667,266.7667,280.73728813559325,337.08622665678206,0.9042338030068179,500.0,0.005,0.005529543336439835,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 252, 255, 296, 314, 359)",255,271.5,314,274.0,296,266.5,359,267.25,0.0423728813559322,0.011904761904761904,363.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-08 14:15:00,2026-05-08 17:55:00,537,581,260.5,259.2811,259.2811,264.7291666666667,410.2059233735271,1.0685864303880381,500.0000000000001,0.005000000000000001,0.004679078694817732,-500.0000000000001,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 400, 407, 484, 491, 533)",407,261.75,491,262.0,484,259.25,533,259.75,0.002976190476190476,0.01020408163265306,536.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-11 09:55:00,2026-05-11 17:50:00,582,677,262.5,259.78335,259.78335,266.574975,184.05020889698605,0.4831317983545884,500.0,0.005,0.010349142857142916,-500.0,-0.005,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 400, 407, 484, 491, 550)",407,261.75,491,262.0,484,259.25,550,260.25,0.002976190476190476,0.015151515151515152,553.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-12 10:50:00,2026-05-12 12:20:00,690,708,261.5,260.02885,260.02885,264.8857142857143,339.8701695952094,0.8887604934914726,500.00000000000006,0.005000000000000001,0.005625812619502955,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 533, 543, 581, 683, 686)",543,261.5,683,262.0,581,258.75,686,260.5,0.0035714285714285713,0.016666666666666666,689.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-15 11:15:00,2026-05-15 15:30:00,986,1037,257.25,255.7865,255.7865,262.93548387096774,341.64673727365664,0.8788862316364816,500.00000000000006,0.005000000000000001,0.0056890184645287094,-500.00000000000006,-0.005000000000000001,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 894, 909, 941, 971, 980)",909,254.25,971,258.0,941,251.25,980,256.25,0.06048387096774194,0.1282051282051282,985.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-18 10:10:00,2026-05-18 14:55:00,1070,1127,260.75,254.28065,254.28065,270.454025,77.28751729308209,0.20152720134171156,499.99999999999994,0.004999999999999999,0.024810546500479355,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 886, 891, 1053, 1059, 1066)",891,254.75,1059,255.75,1053,252.75,1066,254.75,0.005952380952380952,0.15384615384615385,1069.0
long,inverse_head_shoulders_right_shoulder_entry,2026-05-20 14:40:00,2026-05-20 15:05:00,1221,1226,251.75,250.79685,250.79685,255.85237484886534,524.5764045533266,1.3206210984629998,499.99999999999994,0.004999999999999999,0.003786097318768595,-499.99999999999994,-0.004999999999999999,stop,inverse_head_shoulders,rising,"('inverse_head_shoulders', 1187, 1190, 1207, 1211, 1217)",1190,252.0,1211,252.25,1207,248.60000610351562,1217,251.25,0.011904761904761904,0.2649993896484375,1220.0
