Model,EntryBarIdx,EntryDate,EntryPrice,ReversalProbability,SignalThreshold,TargetPrice,StopPrice,RiskReward,OutcomeKnown,OutcomeLabel,HitBarIdx,HitDate,HitType,ShapeHint,TopDrivers
logistic,101,2026-05-08 10:15:00+03:00,308.0,0.9974675880859633,0.8000957584796367,310.4642857142857,306.52142857142854,1.666666666666641,True,1.0,123.0,2026-05-08 12:05:00+03:00,target,ML Bullish Reversal,slope_pct_20=-0.08684 z=-2.66 | drawdown_from_high_80=2.222 z=1.97 | body_pct=-0.4042 z=-2.49 | realized_vol_20=0.003391 z=2.24 | range_pct_20=2.32 z=2.36 | log_return_sum_10=-0.02009 z=-4.89
logistic,211,2026-05-11 11:20:00+03:00,308.0,0.9967574721146186,0.8000957584796367,309.17857142857144,307.29285714285714,1.6666666666666934,True,1.0,213.0,2026-05-11 11:30:00+03:00,target,ML Double Bottom-like,drawdown_from_high_80=2.145 z=1.85 | realized_vol_20=0.002201 z=0.94 | slope_pct_20=-0.02179 z=-0.61 | dist_to_high_atr_50=11.45 z=2.52 | bollinger_z_50=-1.348 z=-0.63 | body_pct=-0.0811 z=-0.50
logistic,265,2026-05-11 15:50:00+03:00,306.25,0.990280755190793,0.8000957584796367,307.17857142857144,305.6928571428571,1.6666666666666328,True,1.0,266.0,2026-05-11 15:55:00+03:00,target,ML Double Bottom-like,bollinger_z_50=-5.677 z=-3.02 | body_pct=-0.4874 z=-3.01 | drawdown_from_high_80=2.235 z=1.99 | bollinger_z_20=-4.119 z=-2.13 | volume_z_20=2.074 z=1.72 | log_return_sum_10=-0.006509 z=-1.58
logistic,588,2026-05-15 10:25:00+03:00,301.5,0.9995390667848101,0.8000957584796367,303.07142857142856,300.5571428571429,1.6666666666666867,True,0.0,598.0,2026-05-15 11:15:00+03:00,stop,ML Bullish Reversal,slope_pct_20=-0.07263 z=-2.21 | drawdown_from_high_80=2.269 z=2.04 | bollinger_z_50=-3.146 z=-1.63 | log_return_sum_10=-0.01482 z=-3.60 | body_pct=-0.2481 z=-1.53 | range_pct_20=1.64 z=1.27
logistic,624,2026-05-15 13:25:00+03:00,300.0,0.9986361954538879,0.8000957584796367,300.7142857142857,299.57142857142856,1.6666666666666226,True,1.0,626.0,2026-05-15 13:35:00+03:00,target,ML Bullish Reversal,drawdown_from_high_80=2.597 z=2.52 | dist_to_high_atr_50=17.5 z=4.40 | body_pct=-0.1664 z=-1.03 | range_pct_80=2.801 z=0.91 | realized_vol_20=0.0007643 z=-0.62 | range_pct_20=0.4164 z=-0.68
logistic,659,2026-05-15 16:20:00+03:00,300.0,0.9268809589279117,0.8000957584796367,300.75,299.55,1.6666666666667087,True,0.0,662.0,2026-05-15 16:35:00+03:00,stop,ML Double Bottom-like,drawdown_from_high_80=2.041 z=1.70 | realized_vol_20=0.0005981 z=-0.80 | range_pct_20=0.3331 z=-0.81 | bollinger_z_50=-1.233 z=-0.57 | body_pct=-0.08326 z=-0.51 | range_pct_80=2.244 z=0.42
logistic,777,2026-05-20 10:00:00+03:00,293.0,0.9990120551916895,0.8000957584796367,295.14285714285717,291.7142857142857,1.666666666666696,True,1.0,784.0,2026-05-20 10:35:00+03:00,target,ML Double Bottom-like,slope_pct_20=-0.1003 z=-3.08 | drawdown_from_high_80=2.658 z=2.61 | range_pct_20=2.609 z=2.82 | realized_vol_20=0.003189 z=2.02 | body_pct=0.3425 z=2.11 | realized_vol_5=0.005925 z=5.06
logistic,863,2026-05-20 17:10:00+03:00,291.0,0.9911039246344167,0.8000957584796367,292.7857142857143,289.92857142857144,1.6666666666666843,True,1.0,864.0,2026-05-20 17:15:00+03:00,target,ML Bullish Reversal,slope_pct_20=-0.06337 z=-1.92 | drawdown_from_high_80=2.02 z=1.67 | body_pct=0.3448 z=2.13 | range_pct_20=1.876 z=1.65 | bollinger_z_50=-2.388 z=-1.21 | log_return_sum_10=-0.009406 z=-2.29
logistic,959,2026-05-21 17:05:00+03:00,283.0,0.9047412895837713,0.8000957584796367,285.0,281.8,1.6666666666666825,True,0.0,961.0,2026-05-21 17:15:00+03:00,stop,ML Double Bottom-like,drawdown_from_high_80=2.414 z=2.25 | slope_pct_20=-0.03852 z=-1.14 | bollinger_z_50=-2.358 z=-1.19 | range_pct_20=1.404 z=0.90 | range_pct_80=2.526 z=0.67 | bollinger_z_20=-2.357 z=-1.18
logistic,1287,2026-06-01 17:50:00+03:00,291.75,0.9992518777623556,0.8000957584796367,293.17857142857144,290.89285714285717,1.666666666666733,True,1.0,1289.0,2026-06-02 09:55:00+03:00,target,ML Double Bottom-like,drawdown_from_high_80=2.506 z=2.39 | slope_pct_20=-0.04111 z=-1.22 | realized_vol_20=0.002926 z=1.73 | range_pct_20=1.966 z=1.80 | range_pct_80=2.784 z=0.90 | bollinger_z_50=-1.418 z=-0.67
logistic,2158,2026-06-12 17:40:00+03:00,304.75,0.9957305049675494,0.8000957584796367,307.60714285714283,303.0357142857143,1.6666666666666445,True,1.0,2161.0,2026-06-12 17:55:00+03:00,target,ML Double Bottom-like,slope_pct_20=-0.07969 z=-2.43 | realized_vol_20=0.003438 z=2.29 | drawdown_from_high_80=2.01 z=1.65 | range_pct_20=1.881 z=1.66 | body_pct=-0.1638 z=-1.01 | bollinger_z_50=-1.453 z=-0.69
logistic,2668,2026-06-22 11:40:00+03:00,326.25,0.9995290891978974,0.8000957584796367,327.2857142857143,325.62857142857143,1.6666666666666667,True,1.0,2671.0,2026-06-22 11:55:00+03:00,target,ML Bullish Reversal,drawdown_from_high_80=2.101 z=1.79 | slope_pct_20=-0.02529 z=-0.72 | dist_to_high_atr_50=13.52 z=3.16 | range_pct_80=2.366 z=0.53 | bollinger_z_50=-1.114 z=-0.51 | body_pct=-0.07657 z=-0.47
logistic,2699,2026-06-22 14:15:00+03:00,326.25,0.9218155193295943,0.8000957584796367,327.07142857142856,325.75714285714287,1.6666666666666667,True,0.0,2708.0,2026-06-22 15:00:00+03:00,stop,ML Double Bottom-like,drawdown_from_high_80=2.101 z=1.79 | body_pct=-0.153 z=-0.94 | realized_vol_20=0.0006703 z=-0.72 | range_pct_80=2.368 z=0.53 | range_pct_20=0.4595 z=-0.61 | log_volume=11.45 z=-0.88
logistic,3154,2026-06-29 11:45:00+03:00,325.5,0.9941453078122873,0.8000957584796367,327.07142857142856,324.5571428571429,1.6666666666666867,True,1.0,3158.0,2026-06-29 12:05:00+03:00,target,ML Double Bottom-like,drawdown_from_high_80=2.032 z=1.69 | slope_pct_20=-0.04037 z=-1.19 | bollinger_z_50=-2.06 z=-1.03 | log_return_sum_10=-0.006889 z=-1.68 | volume_z_20=-1.625 z=-1.50 | bollinger_z_80=-2.242 z=-1.09
logistic,3807,2026-07-07 17:40:00+03:00,347.25,0.9974495190261959,0.8000957584796367,349.2142857142857,346.07142857142856,1.6666666666666505,True,0.0,3811.0,2026-07-08 09:55:00+03:00,stop,ML Double Bottom-like,slope_pct_20=-0.08591 z=-2.63 | drawdown_from_high_80=2.321 z=2.11 | range_pct_20=2.069 z=1.96 | bollinger_z_50=-2.516 z=-1.28 | body_pct=-0.2155 z=-1.33 | log_return_sum_10=-0.01145 z=-2.79
logistic,3844,2026-07-08 12:40:00+03:00,334.0,0.9716718612350084,0.8000957584796367,337.0357142857143,332.17857142857144,1.6666666666666772,True,1.0,3869.0,2026-07-08 14:45:00+03:00,target,ML Bullish Reversal,drawdown_from_high_80=6.048 z=7.61 | slope_pct_20=-0.1399 z=-4.33 | range_pct_20=5.059 z=6.74 | realized_vol_20=0.006759 z=5.90 | range_pct_80=7.144 z=4.75 | range_pct_50=6.282 z=4.89
logistic,3910,2026-07-09 10:05:00+03:00,331.5,0.9830153412298382,0.8000957584796367,333.82142857142856,330.10714285714283,1.6666666666666259,True,1.0,3914.0,2026-07-09 10:25:00+03:00,target,ML Bullish Reversal,drawdown_from_high_80=2.068 z=1.74 | body_pct=-0.3757 z=-2.32 | slope_pct_20=-0.03765 z=-1.11 | realized_vol_5=0.004932 z=4.02 | realized_vol_20=0.00253 z=1.30 | bollinger_z_50=-1.545 z=-0.74
logistic,4111,2026-07-13 10:40:00+03:00,336.5,0.9988371568296641,0.8000957584796367,339.92857142857144,334.4428571428571,1.6666666666666574,True,0.0,,,,ML Bullish Reversal,slope_pct_20=-0.1698 z=-5.27 | range_pct_20=3.453 z=4.17 | realized_vol_20=0.004603 z=3.56 | drawdown_from_high_80=2.605 z=2.53 | log_return_sum_10=-0.01986 z=-4.83 | range_pct_80=3.439 z=1.47
