Model,StartBarIdx,EndBarIdx,PeakBarIdx,StartDate,EndDate,PeakDate,Bars,SupportLow,ResistanceHigh,BoxLow,BoxHigh,EntryBarIdx,EntryDate,EntryPrice,TargetPrice,StopPrice,RiskReward,ProbabilityMean,ProbabilityMax,ProbabilityConfidenceLow,ProbabilityConfidenceHigh,SignalThreshold,VolumeZMax,VolumeRatioMax,VolatilityExpansionMean,VolatilityCompressionMean,RangeCompressionMean,PriorDownContextRatio,IntervalScore,OutcomeKnown,OutcomeLabel,HitBarIdx,HitDate,HitType,ShapeHint,TopDrivers
boosting,98,124,101,2026-05-08 10:00:00+03:00,2026-05-08 12:10:00+03:00,2026-05-08 10:15:00+03:00,27,306.75,310.5,306.40578703703704,310.84421296296296,124,2026-05-08 12:10:00+03:00,310.25,312.21693121693124,309.0698412698413,1.6666666666666987,0.2594289260961662,0.9999268312947587,0.1735231375804323,0.3453347146119001,0.13242302368781572,1.8796333475121927,3.19068918979448,0.7929792558533514,1.4230693460012578,0.7673472641437235,0.25925925925925924,0.5526493223882816,True,1.0,123.0,2026-05-08 12:05:00+03:00,target,ML Bullish Reversal,hmm_state_prob_2=1 z=88454.68 | realized_vol_20=0.003391 z=2.24 | atr_pct=0.4 z=1.96 | slope_pct_20=-0.08684 z=-2.66 | realized_vol_40=0.002616 z=1.40 | rsi_14=29.3 z=-1.47
boosting,205,211,211,2026-05-11 10:50:00+03:00,2026-05-11 11:20:00+03:00,2026-05-11 11:20:00+03:00,7,308.0,309.5,307.7482142857143,309.7517857142857,211,2026-05-11 11:20:00+03:00,308.0,309.4387755102041,307.13673469387754,1.6666666666666667,0.14450367029353808,0.9997312315071111,0.0019596467593563094,0.2870476938277199,0.13242302368781572,0.4540360487934678,1.7387964538351017,0.6732543268536648,1.320462458344889,0.594864394231918,0.42857142857142855,0.5151609526117453,True,1.0,213.0,2026-05-11 11:30:00+03:00,target,ML Double Bottom-like,realized_vol_20=0.002201 z=0.94 | dist_to_high_atr_50=11.45 z=2.52 | hmm_state_prob_2=4.18e-05 z=3.68 | slope_pct_50=-0.03439 z=-1.57 | obv_slope_20=-2.35 z=-2.65 | dist_to_high_atr_20=5.091 z=1.67
boosting,247,273,247,2026-05-11 14:20:00+03:00,2026-05-11 16:30:00+03:00,2026-05-11 14:20:00+03:00,27,306.25,308.75,306.10370370370373,308.89629629629627,273,2026-05-11 16:30:00+03:00,308.5,309.33597883597884,307.9984126984127,1.6666666666667422,0.11194810492440012,0.9998178505067509,0.05039271911641033,0.1735034907323899,0.13242302368781572,2.074255304779288,5.920133802253744,0.9843735926608015,0.6326733809602758,0.24392043794923668,0.5555555555555556,0.576412318325584,True,1.0,260.0,2026-05-11 15:25:00+03:00,target,ML Double Bottom-like,atr_pct=0.116 z=-0.90 | realized_vol_20=0.0007248 z=-0.66 | range_pct_80=2.26 z=0.43 | realized_vol_40=0.0008567 z=-0.68 | hmm_state_prob_1=1 z=1.00 | slope_pct_80=-0.02103 z=-1.30
boosting,587,591,589,2026-05-15 10:20:00+03:00,2026-05-15 10:40:00+03:00,2026-05-15 10:30:00+03:00,5,300.75,303.0,300.46375,303.28625,591,2026-05-15 10:40:00+03:00,301.25,302.8857142857143,300.2685714285714,1.6666666666666667,0.05658774345639426,0.20445756819717648,0.019086735769151174,0.09408875114363735,0.13242302368781572,0.5744193644012748,2.2267510745684183,0.5843026812441804,1.489572089407185,0.7069238916086384,1.0,0.28396419673481976,True,0.0,599.0,2026-05-15 11:20:00+03:00,stop,ML Bullish Reversal,hmm_state_prob_2=0.0001229 z=10.85 | rsi_14=15.1 z=-2.52 | realized_vol_20=0.002011 z=0.74 | slope_pct_50=-0.03067 z=-1.39 | slope_pct_20=-0.08305 z=-2.54 | atr_pct=0.2727 z=0.67
boosting,604,668,607,2026-05-15 11:45:00+03:00,2026-05-15 17:05:00+03:00,2026-05-15 12:00:00+03:00,65,298.5,301.75,298.3421153846154,301.9078846153846,668,2026-05-15 17:05:00+03:00,299.75,300.6521978021978,299.20868131868133,1.6666666666667016,0.33936242124115823,0.9999429651105411,0.2803360637529718,0.39838877872934464,0.13242302368781572,1.7418798973217458,3.60438260686339,0.9729788273655399,0.6555066050284879,0.2471271387399295,0.6153846153846154,0.6407704782364027,True,1.0,628.0,2026-05-15 13:45:00+03:00,target,ML Double Bottom-like,slope_pct_50=-0.05631 z=-2.64 | dist_to_high_atr_50=13.52 z=3.16 | range_pct_80=2.868 z=0.97 | rsi_14=19.58 z=-2.18 | realized_vol_20=0.0008293 z=-0.55 | up_volume_share_20=0.3764 z=-1.25
boosting,776,803,779,2026-05-20 09:55:00+03:00,2026-05-20 12:10:00+03:00,2026-05-20 10:10:00+03:00,28,292.0,296.5,291.64486607142857,296.85513392857143,803,2026-05-20 12:10:00+03:00,295.25,297.27933673469386,294.0323979591837,1.6666666666666823,0.3580545711180129,0.9999104456091992,0.2660369409407463,0.45007220129527953,0.13242302368781572,0.49355955117339806,1.9089117592049862,0.8591913656155986,1.2287063622549972,0.6097948150294371,0.39285714285714285,0.5714618155602114,True,1.0,781.0,2026-05-20 10:20:00+03:00,target,ML Bullish Reversal,hmm_state_prob_2=1 z=88454.68 | realized_vol_20=0.00326 z=2.10 | atr_pct=0.3721 z=1.68 | slope_pct_20=-0.1185 z=-3.66 | range_pct_80=3.025 z=1.11 | realized_vol_40=0.002823 z=1.65
boosting,862,903,863,2026-05-20 17:05:00+03:00,2026-05-21 12:25:00+03:00,2026-05-20 17:10:00+03:00,42,286.0,300.25,285.5450892857143,300.7049107142857,903,2026-05-21 12:25:00+03:00,289.0,291.5994897959184,287.440306122449,1.6666666666666787,0.11929610280435761,0.9994049415832307,0.0699498830152687,0.16864232259344653,0.13242302368781572,2.6047952441359046,5.623996393692732,0.8362933964568819,1.4089646208392734,0.7923948618944775,0.5,0.5630574636932297,True,1.0,864.0,2026-05-20 17:15:00+03:00,target,ML Bullish Reversal,hmm_state_prob_2=0.183 z=16190.51 | atr_pct=0.3068 z=1.02 | slope_pct_50=-0.03195 z=-1.46 | rsi_14=27.81 z=-1.58 | realized_vol_20=0.001776 z=0.48 | realized_vol_2=0.00547 z=4.05
boosting,1270,1306,1277,2026-06-01 16:25:00+03:00,2026-06-02 11:20:00+03:00,2026-06-01 17:00:00+03:00,37,291.0,298.5,290.63513513513516,298.86486486486484,1306,2026-06-02 11:20:00+03:00,296.75,298.8349420849421,295.49903474903476,1.666666666666697,0.4877005784915206,0.9999636671735488,0.4046335927658304,0.5707675642172108,0.13242302368781572,1.6957406600220046,4.38634672123975,0.8209295649894802,1.4881760387833516,0.8298345342127811,0.5135135135135135,0.6495385592408868,True,1.0,1289.0,2026-06-02 09:55:00+03:00,target,ML Bullish Reversal,hmm_state_prob_2=1 z=88454.67 | atr_pct=0.4281 z=2.24 | realized_vol_20=0.003108 z=1.93 | slope_pct_20=-0.1377 z=-4.26 | range_pct_80=2.86 z=0.96 | slope_pct_50=-0.03266 z=-1.49
boosting,2149,2174,2149,2026-06-12 16:55:00+03:00,2026-06-15 10:55:00+03:00,2026-06-12 16:55:00+03:00,26,303.25,329.5,302.4317307692308,330.3182692307692,2174,2026-06-15 10:55:00+03:00,326.5,331.1758241758242,323.6945054945055,1.6666666666666734,0.2671555762670051,0.9999331272477094,0.17915368142234153,0.3551574711116686,0.13242302368781572,0.9649253873181407,5.52333959133198,0.8869987585060867,1.6478880842044634,0.8604958622737094,0.2692307692307692,0.5389804437035282,True,1.0,2159.0,2026-06-12 17:45:00+03:00,target,ML Double Bottom-like,hmm_state_prob_2=1 z=88454.68 | atr_pct=0.4472 z=2.43 | realized_vol_20=0.003227 z=2.06 | range_pct_80=3.245 z=1.30 | slope_pct_20=-0.1027 z=-3.16 | realized_vol_2=0.006386 z=4.90
boosting,2660,2709,2664,2026-06-22 11:00:00+03:00,2026-06-22 15:05:00+03:00,2026-06-22 11:20:00+03:00,50,325.5,328.0,325.320125,328.179875,2709,2026-06-22 15:05:00+03:00,326.0,327.02785714285716,325.3832857142857,1.6666666666666667,0.2405714465154699,0.9998784684936994,0.1796236731227983,0.3015192199081415,0.13242302368781572,1.764807917462284,3.0082058815686445,0.8749325617047566,0.46772737996213415,0.29767644357680484,0.54,0.610547628261012,True,1.0,2670.0,2026-06-22 11:50:00+03:00,target,ML Double Bottom-like,dist_to_high_atr_50=13.12 z=3.04 | realized_vol_20=0.001864 z=0.58 | slope_pct_50=-0.02028 z=-0.89 | range_pct_80=2.366 z=0.53 | dist_to_high_atr_20=5.688 z=1.99 | rsi_14=37.35 z=-0.87
