feature,importance_mean,importance_std,rank
hmm_state_prob_2,0.057980085586883355,0.018086630835603863,1
log_return_sum_10,0.047564624439581774,0.05304589389829955,2
slope_pct_20,0.026787252368647717,0.0005074834656650976,3
obv_slope_20,0.024958853251536173,0.0021309616614166344,4
realized_vol_40,0.01801544112909742,0.01972994414387729,5
drawdown_from_high_50,0.0018518518518518517,0.00121232161242218,6
log_return_1,0.0,0.0,7
reclaim_from_low_atr_13,0.0,0.0,8
break_above_prior_high_atr_21,0.0,0.0,9
reclaim_from_low_atr_21,0.0,0.0,10
short_turn_score_13,0.0,0.0,11
low_range_position_13,0.0,0.0,12
break_above_prior_high_atr_13,0.0,0.0,13
low_range_position_8,0.0,0.0,14
short_turn_score_8,0.0,0.0,15
short_turn_score_21,0.0,0.0,16
break_above_prior_high_atr_8,0.0,0.0,17
reclaim_from_low_atr_8,0.0,0.0,18
short_turn_score_5,0.0,0.0,19
low_range_position_5,0.0,0.0,20
break_above_prior_high_atr_5,0.0,0.0,21
reclaim_from_low_atr_5,0.0,0.0,22
low_range_position_21,0.0,0.0,23
range_compression_20_80,0.0,0.0,24
volatility_expansion_5_20,0.0,0.0,25
log_volume,0.0,0.0,26
hmm_state_prob_1,0.0,0.0,27
hmm_state_prob_0,0.0,0.0,28
hmm_state,0.0,0.0,29
volume_expansion_5_20,0.0,0.0,30
down_volume_share_20,0.0,0.0,31
up_volume_share_20,0.0,0.0,32
volume_z_20,0.0,0.0,33
green_streak,0.0,0.0,34
volatility_compression_20_80,0.0,0.0,35
gap_pct,0.0,0.0,36
close_position_in_range,0.0,0.0,37
lower_wick_to_range,0.0,0.0,38
upper_wick_to_range,0.0,0.0,39
body_to_range,0.0,0.0,40
body_pct,0.0,0.0,41
bollinger_z_80,0.0,0.0,42
range_pct_80,0.0,0.0,43
dist_to_high_atr_80,0.0,0.0,44
log_return_sum_2,0.0,0.0,45
macd_hist,0.0,0.0,46
rsi_14,0.0,0.0,47
rsi_7,0.0,0.0,48
atr_pct,0.0,0.0,49
atr,0.0,0.0,50
realized_vol_80,0.0,0.0,51
log_return_sum_80,0.0,0.0,52
log_return_sum_40,0.0,0.0,53
realized_vol_20,0.0,0.0,54
log_return_sum_20,0.0,0.0,55
realized_vol_10,0.0,0.0,56
realized_vol_5,0.0,0.0,57
log_return_sum_5,0.0,0.0,58
realized_vol_3,0.0,0.0,59
log_return_sum_3,0.0,0.0,60
realized_vol_2,0.0,0.0,61
macd_line,0.0,0.0,62
macd_signal,0.0,0.0,63
stoch_k_14,0.0,0.0,64
rebound_from_low_50,0.0,0.0,65
dist_to_low_atr_80,0.0,0.0,66
rebound_from_low_80,0.0,0.0,67
drawdown_from_high_80,0.0,0.0,68
slope_pct_50,0.0,0.0,69
range_pct_50,0.0,0.0,70
bollinger_z_50,0.0,0.0,71
dist_to_high_atr_50,0.0,0.0,72
dist_to_low_atr_50,0.0,0.0,73
hmm_state_prob_3,0.0,0.0,74
range_pct_20,0.0,0.0,75
bollinger_z_20,0.0,0.0,76
dist_to_high_atr_20,0.0,0.0,77
dist_to_low_atr_20,0.0,0.0,78
rebound_from_low_20,0.0,0.0,79
drawdown_from_high_20,0.0,0.0,80
stoch_d_3,0.0,0.0,81
volume_ratio_20,-0.0014472934472934504,0.00196266315384619,82
prior_down_context,-0.004051282051282056,0.004678767067879812,83
atr_pct_change_5,-0.006882423132423135,0.021394994579255495,84
slope_pct_80,-0.03650024410860324,0.06204930050317042,85
