feature,importance_mean,importance_std,rank
macd_line,0.010367606628476191,0.002684299706632699,1
macd_signal,0.006727337477337477,0.010785736375125983,2
slope_pct_20,0.006660151442760135,0.0018851328362177184,3
range_pct_20,0.006273950686994162,0.001117303831125949,4
log_return_sum_20,0.005832172256085296,0.0033538300393176255,5
drawdown_from_high_50,0.005585434599501092,0.002873510166989154,6
drawdown_from_high_20,0.0051924838446577555,0.0023671810361796473,7
atr_pct,0.00503811405985319,0.0009374861672077523,8
range_pct_50,0.0042560394728586946,0.0026973952993184984,9
realized_vol_40,0.004081968755881802,0.001555083681468967,10
hmm_state_prob_0,0.0035322871715201876,0.005988718046107685,11
body_pct,0.0034420289855072463,0.0015071387524934563,12
obv_slope_20,0.0028369259776582388,0.0014489794029892882,13
dist_to_high_atr_50,0.0017786561264822157,0.0005928853754940718,14
rebound_from_low_50,0.0015531472834609205,0.0039763417162921744,15
hmm_state,0.0015451425005200748,0.0023152301924075714,16
realized_vol_20,0.001412856911712751,0.003388063073351347,17
atr,0.0011857707509881437,0.0009681777639459214,18
dist_to_low_atr_20,0.0009881422924901198,0.0009881422924901198,19
range_compression_20_80,0.0009773197816676086,0.0011017122122724456,20
close_position_in_range,0.0007905138339920958,0.0009681777639459214,21
reclaim_from_low_atr_5,0.0007905138339920958,0.0009681777639459212,22
reclaim_from_low_atr_13,0.0007095802747976679,0.0017518077581017756,23
volume_z_20,0.0006714662149444773,0.0008846427718150397,24
hmm_state_prob_2,0.0006080238099148011,0.011999708078691492,25
green_streak,0.0005928853754940718,0.0009056473705446335,26
reclaim_from_low_atr_21,0.00043153833199600087,0.001772442565003604,27
log_volume,0.0003952569169960479,0.0007905138339920958,28
volume_ratio_20,0.0003058535667231313,0.0009175607001693939,29
realized_vol_5,0.0001251646903820819,0.0017629872082777496,30
low_range_position_5,0.0,0.0,31
break_above_prior_high_atr_5,0.0,0.0,32
log_return_1,0.0,0.0,33
short_turn_score_5,0.0,0.0,34
short_turn_score_13,0.0,0.0,35
lower_wick_to_range,0.0,0.0,36
gap_pct,0.0,0.0,37
body_to_range,0.0,0.0,38
hmm_state_prob_3,0.0,0.0,39
realized_vol_2,0.0,0.0,40
log_return_sum_3,0.0,0.0,41
realized_vol_3,0.0,0.0,42
log_return_sum_5,0.0,0.0,43
upper_wick_to_range,-0.0001971579145492175,0.0018776949415342935,44
hmm_state_prob_1,-0.0002301884487239149,0.003744623083970231,45
reclaim_from_low_atr_8,-0.00023809523809524002,0.00047619047619048004,46
short_turn_score_21,-0.00042053675710627817,0.0042749983106740025,47
volume_expansion_5_20,-0.0005731225296442668,0.002136633079936919,48
bollinger_z_50,-0.0006570002092684297,0.024319430204406925,49
volatility_expansion_5_20,-0.0009523809523809601,0.00047619047619048004,50
low_range_position_8,-0.0009523809523809601,0.00047619047619048004,51
rsi_7,-0.0009928477319781747,0.0005928853754940761,52
break_above_prior_high_atr_8,-0.0010714285714285802,0.00035714285714286007,53
slope_pct_50,-0.0012662337662337694,0.0011646650942521845,54
dist_to_high_atr_20,-0.0013978127136021895,0.0012216078553029832,55
prior_down_context,-0.001401296643859573,0.00730749724610263,56
rebound_from_low_20,-0.0020346320346320335,0.0013832506760753586,57
log_return_sum_2,-0.002251082251082248,0.0014034255478309321,58
dist_to_high_atr_80,-0.002348484848484843,0.0015374442266626698,59
volatility_compression_20_80,-0.002369810468393721,0.005530320018868173,60
stoch_k_14,-0.002440316113270076,0.009949240073220879,61
rsi_14,-0.0025548433783054852,0.003302648317065194,62
break_above_prior_high_atr_13,-0.0026877908607448237,0.0031303880630825847,63
log_return_sum_40,-0.0029234596959484523,0.019029609830770185,64
short_turn_score_8,-0.003019480519480512,0.001006493506493504,65
bollinger_z_20,-0.003033667249577869,0.0030560767894895844,66
rebound_from_low_80,-0.003354978354978347,0.0,67
dist_to_low_atr_50,-0.0036835085204650424,0.0062306667646675525,68
dist_to_low_atr_80,-0.0038441134029369287,0.002583846233741216,69
realized_vol_80,-0.003947942025014168,0.007444328113978952,70
down_volume_share_20,-0.0043005870822367,0.01601628698677057,71
low_range_position_13,-0.004396833797661634,0.00655889432296937,72
log_return_sum_80,-0.005619731146046934,0.0018208779520609388,73
stoch_d_3,-0.007582374203063856,0.0273371252908238,74
drawdown_from_high_80,-0.0096244617451514,0.02979771275350843,75
low_range_position_21,-0.010102176808698552,0.021071506602975444,76
realized_vol_10,-0.011517513726458402,0.022784022090894605,77
macd_hist,-0.01397068672068672,0.02672553068072385,78
break_above_prior_high_atr_21,-0.019635406863667736,0.03276153683875798,79
up_volume_share_20,-0.021823139726063263,0.04361027958752869,80
atr_pct_change_5,-0.022123607386765276,0.010672193910723118,81
range_pct_80,-0.025426046779307647,0.026469468939971694,82
bollinger_z_80,-0.028924619663750095,0.0698430977316622,83
log_return_sum_10,-0.04203404976764265,0.14379001101607372,84
slope_pct_80,-0.04872597038976349,0.036917032669579804,85
