feature,importance_mean,importance_std,rank
range_pct_80,0.042840056363790804,0.0082242419183638,1
range_pct_50,0.030006126495477913,0.004958341619952476,2
atr_pct,0.022219813134504985,0.008491256693267382,3
log_return_sum_80,0.017547257836658316,0.005519907859235982,4
volatility_compression_20_80,0.016511521204501257,0.0020897535918093855,5
slope_pct_80,0.015291749528988685,0.00407167380490237,6
hmm_state_prob_1,0.013020639993293304,0.0039252530804728975,7
rebound_from_low_50,0.010762307342856214,0.00047882581461284034,8
log_return_sum_40,0.009858692246291944,0.0039140149713137,9
obv_slope_20,0.008065495318264993,0.0023416805837583573,10
bollinger_z_80,0.005656713137301183,0.00397040960740935,11
stoch_d_3,0.00494718177266118,0.0015838889403557198,12
down_volume_share_20,0.00482739100848153,0.0009804541634098245,13
realized_vol_40,0.004627558096277818,0.0028429367862532295,14
up_volume_share_20,0.004258397297898164,0.0014994830640467018,15
hmm_state_prob_2,0.003543691353078038,0.0013244548261688428,16
macd_signal,0.0023564856789278334,0.001694603621333553,17
macd_hist,0.002326850370776601,0.0012745425386736444,18
log_return_sum_2,0.0020890709551246722,0.0011011570336718678,19
slope_pct_20,0.001973443438494105,0.002479266467835729,20
drawdown_from_high_20,0.0017641206535298215,0.0008197838186549208,21
atr_pct_change_5,0.0016536657351147177,0.0006963229474340345,22
volatility_expansion_5_20,0.001625691107778593,0.0007262396714442153,23
realized_vol_2,0.0014839699804271244,0.000792692444839498,24
short_turn_score_21,0.001377007880774528,0.00025674083068703195,25
realized_vol_3,0.0009696368750508055,0.0003681475912418094,26
hmm_state,0.0008772123892828887,0.0003244257355516347,27
log_return_sum_5,0.0008509512035213884,0.00038650428802467526,28
range_compression_20_80,0.0008364043787798536,0.0013154969285671463,29
rebound_from_low_20,0.0008159758369752357,0.0005536142532162062,30
drawdown_from_high_50,0.0006879629203461191,0.0014219952786905785,31
reclaim_from_low_atr_21,0.0006669412744880088,0.000111244353738572,32
reclaim_from_low_atr_13,0.0006656374131704057,0.0002979476231758786,33
slope_pct_50,0.0005523546474464292,0.0012129608133634605,34
break_above_prior_high_atr_5,0.0005363774264370402,0.00036973153145684873,35
green_streak,0.0003693739308124444,0.00030703495208117055,36
bollinger_z_20,0.00034424061037761076,0.00037306461644085663,37
short_turn_score_8,0.0003063848503612299,0.00015249824144154323,38
gap_pct,0.0002969571947733618,0.00011936572429519075,39
realized_vol_5,0.0002720423154381812,0.0006580466382938056,40
dist_to_high_atr_50,0.0002608575903365384,0.0008401193816411144,41
break_above_prior_high_atr_8,0.00021672145724569437,0.000466648382187369,42
low_range_position_21,0.0002116245441804887,9.325946392266879e-05,43
body_pct,0.00021154408762955602,0.00041478752809782297,44
low_range_position_13,0.0001912445615479763,0.0002765769859684205,45
dist_to_low_atr_50,0.00012575124306948293,0.0009116437920405359,46
close_position_in_range,9.898460470794123e-05,0.00010625846523722235,47
stoch_k_14,0.0,0.0,48
prior_down_context,0.0,0.0,49
lower_wick_to_range,-1.147506165533052e-05,3.481941101111843e-05,50
dist_to_high_atr_20,-5.1950350388030306e-05,0.00020155057015171902,51
volume_ratio_20,-9.640211116781482e-05,0.000306417860304612,52
low_range_position_5,-0.0001737369476772832,8.653240834539418e-05,53
short_turn_score_13,-0.00022996460095514593,8.237555781478066e-05,54
upper_wick_to_range,-0.00023839387016513224,0.00024522441532757387,55
body_to_range,-0.00028178817542698906,0.00012637769634713154,56
short_turn_score_5,-0.0002947654986607651,0.00010560195627804807,57
log_return_1,-0.00035844230929598097,0.00016215167612864802,58
break_above_prior_high_atr_21,-0.00040654581514119046,0.0004938998565714614,59
log_return_sum_10,-0.0005283096006627463,0.0019997257812566344,60
log_return_sum_3,-0.0005335778816670578,0.0013358389131553658,61
dist_to_low_atr_20,-0.0006854536818031276,0.0004539374459166784,62
rsi_7,-0.0007048778408650591,0.0007800465960785406,63
log_volume,-0.0007557614277295732,0.00037882988275658177,64
reclaim_from_low_atr_8,-0.000775241889151812,0.00020205548238203926,65
volume_z_20,-0.0008431448101990924,0.0002520351499183857,66
rsi_14,-0.001282642916749266,0.0007351738744208471,67
reclaim_from_low_atr_5,-0.0014550877457677025,0.001114475368517114,68
realized_vol_20,-0.001685059191918814,0.0035758270084590652,69
volume_expansion_5_20,-0.0021931314932718713,0.00036357973362062686,70
range_pct_20,-0.0022968401820802507,0.0011670417930238618,71
break_above_prior_high_atr_13,-0.0032742305511960445,0.001143908388428795,72
low_range_position_8,-0.0032907951034391704,0.0011385574886196477,73
log_return_sum_20,-0.0034701334357676306,0.0006960381304525367,74
macd_line,-0.0035979787827804754,0.002979479835248756,75
atr,-0.0048176821422485135,0.0022807272770251565,76
bollinger_z_50,-0.004994001143508742,0.0029798473295620568,77
realized_vol_10,-0.005088667078610998,0.0017776544320911255,78
drawdown_from_high_80,-0.006355234490056772,0.003570735150951254,79
dist_to_low_atr_80,-0.007142152698261994,0.001980900757133705,80
hmm_state_prob_0,-0.007175253976785001,0.003077741866579365,81
dist_to_high_atr_80,-0.007635008165536217,0.0015854929426142015,82
realized_vol_80,-0.01399815558614348,0.007460824592344735,83
hmm_state_prob_3,-0.014129835386745216,0.0032477344759820844,84
rebound_from_low_80,-0.07405868088576295,0.0023334782892564586,85
