feature,importance_mean,importance_std,rank
drawdown_from_high_80,1.2966968645214592,0.04414273738101967,1
atr_pct,0.94182838569968,0.01709442152454671,2
atr,0.5355005659373377,0.018078468740454087,3
dist_to_low_atr_80,0.45948485130325134,0.013244160947033864,4
rebound_from_low_80,0.41923186585843714,0.02367467535256968,5
dist_to_low_atr_50,0.3709670540258613,0.016882669232154916,6
rebound_from_low_50,0.32968747935780096,0.012632029741728671,7
dist_to_high_atr_80,0.3112177272204632,0.012897975155959446,8
slope_pct_80,0.29616781661872044,0.014317331426643607,9
dist_to_low_atr_20,0.26527362856737746,0.010922105464482995,10
drawdown_from_high_20,0.2279569642251044,0.01248004163645201,11
range_pct_80,0.2219170174125718,0.014533961566290873,12
reclaim_from_low_atr_21,0.12937496415636457,0.008061849134961108,13
rebound_from_low_20,0.12744696973322728,0.007792886583576961,14
short_turn_score_21,0.08155607933260656,0.006746621649379491,15
bollinger_z_50,0.07192026258008369,0.007085492182679886,16
reclaim_from_low_atr_5,0.04762933140019461,0.007065770800862701,17
range_compression_20_80,0.04140906135789013,0.006565353447591859,18
short_turn_score_5,0.03873813403043158,0.0046154320112248015,19
log_return_sum_40,0.036320006104664994,0.0043607841427892565,20
bollinger_z_80,0.034551405869046835,0.005559576452181298,21
log_return_sum_80,0.03176536756003212,0.007333701340099478,22
low_range_position_21,0.027051238953394695,0.003554091639876301,23
macd_line,0.02467000635761076,0.004371099227969881,24
slope_pct_20,0.023478279329003416,0.0030373621876804064,25
realized_vol_5,0.02283710650658486,0.005495749874987812,26
realized_vol_40,0.01861176025979161,0.0029601183096206675,27
lower_wick_to_range,0.018324027421130797,0.0028689968046681637,28
hmm_state_prob_0,0.016349864384340673,0.0018002297509124396,29
volatility_compression_20_80,0.01628649753855811,0.002999298053617087,30
volatility_expansion_5_20,0.013359489652385004,0.0025743752927571014,31
body_to_range,0.012849009346002905,0.004836199581039467,32
reclaim_from_low_atr_13,0.012485365765390832,0.0021085473710400313,33
dist_to_high_atr_50,0.012166176466025668,0.006060101032857304,34
break_above_prior_high_atr_21,0.011673707973602699,0.0022877991225166605,35
break_above_prior_high_atr_8,0.011049403945417336,0.0018546094201645498,36
dist_to_high_atr_20,0.010884116710203128,0.0030839370414196894,37
log_volume,0.010075360121225452,0.002377107332263119,38
macd_signal,0.009418421733880055,0.0026130508741338135,39
log_return_sum_5,0.009237242391282607,0.0028096715402125033,40
realized_vol_20,0.008696486542710647,0.004559584785596399,41
hmm_state_prob_1,0.007918821043981228,0.0016643638609579044,42
prior_down_context,0.00774281219376387,0.002535578184308398,43
macd_hist,0.006006204540734394,0.0013971241721259882,44
short_turn_score_8,0.005973564651798102,0.0025469320491840856,45
volume_ratio_20,0.005490919565460528,0.0019255380003917002,46
reclaim_from_low_atr_8,0.0053488401890684715,0.0012283881840567444,47
slope_pct_50,0.004586377091574034,0.0026518965370830837,48
range_pct_50,0.004544747662568671,0.005639015748488445,49
close_position_in_range,0.004486104561684768,0.0018846441682545832,50
upper_wick_to_range,0.004082045516664445,0.0033715078969647648,51
bollinger_z_20,0.0031848744909208637,0.0030859178124045933,52
realized_vol_3,0.0031674455211737618,0.0016996126891152216,53
drawdown_from_high_50,0.0031581107103573424,0.0005009155819376051,54
stoch_k_14,0.003134780740075893,0.0011171318493599148,55
hmm_state_prob_2,0.0027157715235026194,0.002519084745974905,56
break_above_prior_high_atr_5,0.0026867047818633916,0.000897614165678569,57
volume_expansion_5_20,0.002559846027093582,0.001630147231480164,58
break_above_prior_high_atr_13,0.0025039698219727624,0.0017606069541401073,59
rsi_7,0.002077481919651958,0.0007210087223799511,60
short_turn_score_13,0.0017650913235774724,0.0030350698356309417,61
stoch_d_3,0.0013591047550977286,0.0005437859072773907,62
realized_vol_10,0.0010443634489150533,0.00039467237572651315,63
down_volume_share_20,0.0009668604189279062,0.0006412286337202657,64
up_volume_share_20,0.0009668604188728169,0.000641228633698183,65
log_return_sum_3,0.000966726191277556,0.0008598216168454255,66
low_range_position_8,0.0006417567217826825,0.0010001142904698963,67
gap_pct,0.0006128581334395422,0.0005256690856253985,68
log_return_sum_10,0.0004362004531577535,0.00020427515276253512,69
low_range_position_5,0.00013963909700613896,0.00032783818055352325,70
low_range_position_13,8.910796579519875e-05,0.0016523905286638927,71
realized_vol_2,4.2132938578731685e-05,0.00014819807540012825,72
volume_z_20,5.376814469237878e-06,0.00026933758419257515,73
atr_pct_change_5,-6.4141109732185345e-06,1.6494121444791886e-06,74
rsi_14,-8.7984909706873e-05,0.0017743233455707159,75
obv_slope_20,-8.971409341351766e-05,0.00012999207257120458,76
log_return_sum_2,-0.00039941888636387814,0.0006999843694220432,77
green_streak,-0.00040406486311947985,0.0010769029353674597,78
log_return_1,-0.0005808986512247261,0.0006246283800668984,79
log_return_sum_20,-0.0007357923547240519,0.00016674591659482913,80
body_pct,-0.0007503039063207373,0.0006288057782578703,81
realized_vol_80,-0.00080794579626704,0.00039221241704981235,82
range_pct_20,-0.0023502780135556734,0.0003594459130840633,83
hmm_state_prob_3,-0.002916187759060529,0.0012608348171738624,84
hmm_state,-0.007176117855043773,0.0028079412112352003,85
