date,idx,kind,label,price
2016-09-26,10,low,L,7.964284896850586
2017-03-20,35,high,H,13.121427536010742
2017-04-03,37,low,HL,11.828571319580078
2017-11-06,68,high,HH,20.714284896850586
2018-02-05,81,low,HL,15.228570938110352
2018-03-26,88,high,LH,18.157142639160156
2018-05-07,94,low,LL,13.300000190734863
2018-06-25,101,high,LH,16.55714225769043
2018-07-09,103,low,HL,13.478570938110352
2018-10-08,116,high,HH,20.600000381469727
2018-12-31,128,low,HL,16.11428451538086
2019-03-18,139,high,HH,22.271427154541016
2019-05-06,146,low,HL,16.25714111328125
2019-06-03,150,high,LH,18.714284896850586
2019-07-08,155,low,LL,15.914284706115723
2019-07-29,158,high,HH,20.5
2019-08-26,162,low,HL,17.857141494750977
2019-09-30,167,high,HH,20.871427536010742
2020-03-23,192,low,LL,9.364285469055176
2020-06-22,205,high,LH,13.085714340209961
2020-08-03,211,low,HL,10.457141876220703
2020-08-17,213,high,HH,13.671427726745605
2020-10-26,223,low,HL,10.550000190734863
2021-01-04,233,high,HH,16.271427154541016
2021-01-25,236,low,HL,13.76428508758545
2021-03-08,242,high,LH,15.714284896850586
2021-03-22,244,low,LL,11.692856788635254
2021-06-07,255,high,LH,15.071428298950195
2021-07-26,262,low,HL,13.0
2021-12-13,282,high,HH,31.542856216430664
2021-12-20,283,low,HL,19.428571701049805
2022-06-06,307,high,HH,42.08571243286133
2022-07-11,312,low,HL,32.52857208251953
2022-08-29,319,high,HH,52.0
2022-09-26,323,low,HL,40.900001525878906
2023-03-06,346,high,HH,92.81428527832031
2023-05-22,357,low,HL,63.20000076293945
2023-09-25,375,high,HH,174.1999969482422
2023-10-23,379,low,HL,128.10000610351562
2023-11-20,383,high,LH,158.10000610351562
2024-01-08,390,low,HL,137.10000610351562
2024-04-29,406,high,HH,204.10000610351562
2024-08-05,420,low,HL,152.1999969482422
2024-09-23,427,high,LH,172.5
2024-11-04,433,low,LL,138.5
2024-12-09,438,high,LH,156.1999969482422
2025-02-24,449,low,LL,123.0999984741211
2025-03-17,452,high,LH,147.1999969482422
2025-05-05,459,low,LL,117.30000305175781
2025-11-17,487,high,HH,209.3000030517578
2025-12-22,492,low,HL,182.39999389648438
2026-04-27,510,high,HH,279.5
2026-06-22,518,low,HL,215.10000610351562
